,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
0,Quentin Pacher,2023-01-31,Occitanie,Haute-Garonne,51.26,1:47:18,542,999,9999,999,99,28.7,62.5,Quelques nuages,3,87,0,9.6,W
1,Quentin Pacher,2023-01-13,Occitanie,Haute-Garonne,60.48,2:00:38,499,215,1459,65,57,30.1,65.3,Nuages,8,82,7,9.4,SW
2,Quentin Pacher,2023-01-12,Occitanie,Haute-Garonne,97.39,2:56:27,459,211,2124,95,56,33.1,59.9,Quelques nuages,6,87,5,7.4,SW
3,Quentin Pacher,2023-01-10,Occitanie,Haute-Garonne,65.2,1:57:28,448,999,9999,999,99,33.3,61.0,Quelques nuages,10,72,10,3.5,SSW
4,Quentin Pacher,2023-02-28,Occitanie,Haute-Garonne,47.78,1:34:37,482,243,1298,64,64,30.3,56.3,Quelques nuages,4,56,0,19.3,WNW
5,Quentin Pacher,2023-02-18,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,5.35,10:48,19,112,64,1,29,29.8,52.8,Dégagé,14,68,14,7.4,ESE
6,Quentin Pacher,2023-02-15,Occitanie,Haute-Garonne,59.71,1:52:52,534,999,9999,999,99,31.7,64.7,Nuages,8,87,4,20.3,SE
7,Quentin Pacher,2023-02-13,Occitanie,Ariège,94.5,3:14:17,2011,285,2784,186,75,29.2,70.0,Dégagé,10,38,9,6.1,SSE
8,Quentin Pacher,2023-02-12,Occitanie,Haute-Garonne,122.06,4:00:51,1370,999,9999,999,99,30.4,64.3,Dégagé,6,69,3,16.0,SE
9,Quentin Pacher,2023-02-11,Occitanie,Haute-Garonne,52.41,1:48:24,461,194,1180,47,51,29.0,54.2,Dégagé,3,73,0,12.0,ESE
10,Quentin Pacher,2023-02-10,Occitanie,Ariège,85.8,3:03:02,1927,288,2576,182,76,28.1,64.0,Dégagé,3,37,3,3.3,NW
11,Quentin Pacher,2023-02-09,Occitanie,Haute-Garonne,209.46,7:04:05,2550,999,9999,999,99,29.6,65.4,Dégagé,2,86,2,13.8,SE
12,Quentin Pacher,2023-02-08,Occitanie,Haute-Garonne,94.3,2:43:43,597,999,9999,999,99,34.6,69.6,Dégagé,2,81,2,15.7,E
13,Quentin Pacher,2023-02-06,Occitanie,Haute-Garonne,61.59,2:05:11,918,296,1661,126,78,29.5,66.3,Dégagé,3,86,0,8.7,WNW
14,Quentin Pacher,2023-02-05,Occitanie,Haute-Garonne,116.31,3:53:08,1219,999,9999,999,99,29.9,62.7,Quelques nuages,5,97,1,14.4,WNW
15,Quentin Pacher,2023-02-03,Occitanie,Haute-Garonne,94.67,2:58:09,1443,283,2733,164,74,31.9,70.5,Quelques nuages,3,86,1,6.7,W
16,Quentin Pacher,2023-02-02,Auvergne-Rhône-Alpes,Ain,116.2,4:18:15,2410,999,9999,999,99,27.0,90.5,Quelques nuages,2,74,1,5.4,WSW
17,Quentin Pacher,2023-02-01,Occitanie,Haute-Garonne,83.18,2:46:37,709,999,9999,999,99,30.0,56.7,Quelques nuages,7,81,5,13.3,NW
18,Quentin Pacher,2023-03-31,Occitanie,Haute-Garonne,47.08,1:35:46,393,999,9999,999,99,29.5,55.4,Nuages,13,79,13,11.7,W
19,Quentin Pacher,2023-03-30,Occitanie,Haute-Garonne,133.13,4:05:27,1518,999,9999,999,99,32.5,66.7,Quelques nuages,16,68,16,8.9,WNW
20,Quentin Pacher,2023-03-29,Occitanie,Haute-Garonne,44.41,1:26:26,526,216,1029,46,57,30.8,61.0,Nuages,12,66,12,19.4,SE
21,Quentin Pacher,2023-03-27,Occitanie,Tarn,162.85,5:34:16,3310,999,9999,999,99,29.2,77.4,Nuages,8,81,5,19.2,NW
22,Quentin Pacher,2023-03-26,Occitanie,Haute-Garonne,85.55,2:51:39,665,999,9999,999,99,29.9,62.3,Nuages,10,81,8,15.0,W
23,Quentin Pacher,2023-03-25,Occitanie,Haute-Garonne,141.28,4:29:46,1944,999,9999,999,99,31.4,62.1,Quelques nuages,14,60,13,11.6,W
24,Quentin Pacher,2023-03-24,Occitanie,Haute-Garonne,49.16,1:38:49,575,202,1102,46,53,29.9,54.6,Nuages,15,75,15,8.5,SW
25,Quentin Pacher,2023-03-23,Occitanie,Haute-Garonne,92.63,3:09:23,1376,999,9999,999,99,29.3,63.7,Nuages,15,75,14,17.9,SE
26,Quentin Pacher,2023-03-22,Occitanie,Haute-Garonne,127.81,4:00:16,1170,223,3000,142,59,31.9,62.4,Quelques nuages,6,87,5,5.4,SE
27,Quentin Pacher,2023-03-21,Occitanie,Haute-Garonne,96.09,3:00:06,962,999,9999,999,99,32.0,66.0,Nuages,16,58,15,7.5,NW
28,Quentin Pacher,2023-03-20,Occitanie,Haute-Garonne,50.16,1:35:19,357,204,1098,46,54,31.6,64.5,Quelques nuages,8,86,7,4.2,WNW
29,Quentin Pacher,2023-03-16,Occitanie,Haute-Garonne,77.27,2:25:49,1040,999,9999,999,99,31.8,65.8,Dégagé,7,91,3,23.0,ESE
30,Quentin Pacher,2023-03-15,Occitanie,Haute-Garonne,64.82,2:06:44,511,203,1421,60,53,30.7,64.5,Quelques nuages,10,81,10,17.4,WNW
31,Quentin Pacher,2023-03-02,Provence-Alpes-Côte d'Azur,Var,57.39,1:59:27,1079,999,9999,999,99,28.8,66.8,Quelques nuages,10,76,8,11.4,NE
32,Quentin Pacher,2023-03-01,Occitanie,Haute-Garonne,112.81,3:32:02,1439,999,9999,999,99,31.9,68.2,Quelques nuages,2,64,1,11.3,SW
33,Quentin Pacher,2023-04-24,Occitanie,Lot,75.13,2:54:35,2213,999,9999,999,99,25.8,74.2,Nuages,6,83,3,17.5,W
34,Quentin Pacher,2023-04-18,Auvergne-Rhône-Alpes,Ain,54.03,1:43:22,651,999,9999,999,99,31.4,71.5,Dégagé,8,74,6,16.0,ENE
35,Quentin Pacher,2023-04-13,Occitanie,Haute-Garonne,133.93,4:20:37,1407,999,9999,999,99,30.8,60.3,Quelques nuages,7,83,4,20.7,W
36,Quentin Pacher,2023-04-12,Occitanie,Haute-Garonne,99.51,3:18:31,1110,999,9999,999,99,30.1,61.2,Nuages,15,67,15,9.7,WSW
37,Quentin Pacher,2023-04-11,Occitanie,Haute-Garonne,72.57,2:16:01,592,999,9999,999,99,32.0,67.3,Nuages,13,77,12,14.5,WNW
38,Quentin Pacher,2023-04-10,Occitanie,Haute-Garonne,52.09,1:44:33,348,176,1032,37,46,29.9,58.2,Nuages,13,72,12,8.5,W
39,Quentin Pacher,2023-04-01,Occitanie,Haute-Garonne,39.23,1:17:17,536,999,9999,999,99,30.5,61.9,Vent,12,68,12,27.4,W
40,Quentin Pacher,2023-05-31,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,188.76,6:41:49,3193,999,9999,999,99,28.2,72.4,Nuages,20,63,20,7.5,ESE
41,Quentin Pacher,2023-05-30,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,113.95,3:57:28,2548,999,9999,999,99,28.8,68.8,Nuages,25,47,25,6.5,SSE
42,Quentin Pacher,2023-05-28,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,127.49,4:38:26,2203,999,9999,999,99,27.5,63.9,Quelques nuages,22,63,22,6.8,SSE
43,Quentin Pacher,2023-05-25,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,158.59,5:32:03,2605,999,9999,999,99,28.7,61.0,Nuages,19,72,19,8.1,E
44,Quentin Pacher,2023-05-24,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,105.35,3:35:27,2029,999,9999,999,99,29.3,69.7,Dégagé,22,67,22,8.7,SE
45,Quentin Pacher,2023-05-21,Occitanie,Haute-Garonne,93.78,3:01:19,923,999,9999,999,99,31.0,69.2,Nuages,18,69,17,5.4,NNE
46,Quentin Pacher,2023-05-20,Occitanie,Haute-Garonne,152.05,4:52:24,1679,208,3388,151,55,31.2,65.2,Nuages,15,68,15,16.1,W
47,Quentin Pacher,2023-05-19,Occitanie,Haute-Garonne,130.32,4:01:41,1275,232,3180,156,61,32.4,59.9,Nuages,15,66,14,17.4,WNW
48,Quentin Pacher,2023-05-18,Occitanie,Haute-Garonne,93.61,3:03:57,610,197,2098,84,52,30.5,55.0,Nuages,12,62,11,15.3,WNW
49,Quentin Pacher,2023-05-16,Occitanie,Haute-Garonne,118.17,3:49:55,1501,999,9999,999,99,30.8,64.7,Nuages,12,88,11,20.4,WNW
50,Quentin Pacher,2023-05-15,Occitanie,Haute-Garonne,92.03,3:02:05,946,194,1966,80,51,30.3,63.0,Quelques nuages,18,63,17,24.1,WNW
51,Quentin Pacher,2023-05-14,Auvergne-Rhône-Alpes,Ain,69.6,2:14:28,577,199,1513,61,52,31.1,53.7,Quelques nuages,14,77,14,9.7,NNW
52,Quentin Pacher,2023-05-13,Auvergne-Rhône-Alpes,Ain,61.05,1:57:21,369,200,1329,55,53,31.2,64.4,Quelques nuages,13,81,13,8.7,N
53,Quentin Pacher,2023-05-11,Occitanie,Haute-Garonne,161.05,5:23:14,1662,999,9999,999,99,29.9,62.7,Nuages,12,81,11,16.6,WNW
54,Quentin Pacher,2023-05-10,Occitanie,Haute-Garonne,137.79,4:24:27,1571,221,3249,154,58,31.3,95.2,Quelques nuages,14,69,13,21.9,WNW
55,Quentin Pacher,2023-05-07,Occitanie,Haute-Garonne,139.16,4:15:47,1435,999,9999,999,99,32.6,62.8,Nuages,17,79,17,12.5,WNW
56,Quentin Pacher,2023-05-06,Occitanie,Haute-Garonne,117.32,3:42:37,1571,999,9999,999,99,31.6,79.9,Nuages,21,61,21,19.7,ESE
57,Quentin Pacher,2023-05-05,Occitanie,Haute-Garonne,90.73,2:51:32,949,206,1970,85,54,31.7,65.3,Nuages,21,57,20,8.1,SSE
58,Quentin Pacher,2023-05-04,Occitanie,Haute-Garonne,79.36,2:25:47,673,213,1768,76,56,32.7,65.2,Quelques nuages,18,69,17,6.0,S
59,Quentin Pacher,2023-05-03,Occitanie,Haute-Garonne,61.47,1:58:30,782,999,9999,999,99,31.1,80.6,Dégagé,17,54,16,16.8,ESE
60,Quentin Pacher,2023-05-02,Occitanie,Haute-Garonne,35.17,1:07:59,192,999,9999,999,99,31.0,53.6,Quelques nuages,16,68,15,9.8,WNW
61,Quentin Pacher,2023-06-28,Occitanie,Haute-Garonne,38.17,1:17:13,284,999,9999,999,99,29.7,53.7,Dégagé,21,68,22,12.3,WNW
62,Quentin Pacher,2023-06-27,Occitanie,Ariège,142.69,4:58:53,3308,999,9999,999,99,28.6,69.7,Nuages,16,85,16,5.2,NW
63,Quentin Pacher,2023-06-24,Hauts-de-France,Pas-de-Calais,52.98,1:38:42,647,999,9999,999,99,32.2,61.6,Dégagé,19,76,19,14.5,WSW
64,Quentin Pacher,2023-06-23,Auvergne-Rhône-Alpes,Ain,58.42,1:43:29,763,999,9999,999,99,33.9,65.8,Nuages,25,61,26,11.2,WSW
65,Quentin Pacher,2023-06-22,Occitanie,Haute-Garonne,125.12,3:29:33,1000,999,9999,999,99,35.8,72.2,Nuages,22,76,22,19.8,W
66,Quentin Pacher,2023-06-21,Occitanie,Haute-Garonne,117.14,3:42:30,1113,999,9999,999,99,31.6,63.0,Nuages,25,74,27,10.0,E
67,Quentin Pacher,2023-06-20,Occitanie,Haute-Garonne,43.73,1:24:21,303,999,9999,999,99,31.1,63.3,Nuages,28,58,30,15.5,SE
68,Quentin Pacher,2023-06-09,Auvergne-Rhône-Alpes,Ain,75.95,2:31:20,1093,999,9999,999,99,30.1,58.0,Nuages,20,61,20,3.0,WNW
69,Quentin Pacher,2023-06-03,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,51.19,1:55:39,891,999,9999,999,99,26.6,57.8,Dégagé,23,67,24,8.7,SSE
70,Quentin Pacher,2023-06-02,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,130.7,4:20:30,2300,999,9999,999,99,30.1,60.4,Dégagé,22,61,22,8.2,SSE
71,Quentin Pacher,2023-06-01,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,147.35,5:08:06,2298,999,9999,999,99,28.7,65.5,Nuages,21,56,21,4.6,SSE
