,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
0,Warren Barguil,2023-01-21,Bretagne,Morbihan,164.8,4:54:44,1489,246,3697,197,63,33.5,68.2,Quelques nuages,1,93,2,10.3,NE
1,Warren Barguil,2023-01-07,Bretagne,Morbihan,167.45,4:31:26,1788,247,3828,186,63,37.0,69.4,Pluie,12,100,12,40.5,SW
2,Warren Barguil,2023-01-04,Bretagne,Morbihan,45.57,2:28:49,982,115,1028,999,99,18.4,47.7,Nuages,13,99,13,34.5,WSW
3,Warren Barguil,2023-02-28,Bretagne,Morbihan,144.16,4:01:03,1923,255,3288,173,65,35.9,77.0,Dégagé,2,82,3,16.2,NNE
4,Warren Barguil,2023-02-25,Bretagne,Morbihan,189.16,5:50:10,3115,255,4406,252,65,32.4,76.0,Quelques nuages,5,87,1,26.5,ENE
5,Warren Barguil,2023-02-22,Bretagne,Morbihan,48.64,2:16:42,1003,133,1087,999,99,21.3,58.7,Pluie,9,97,7,12.7,N
6,Warren Barguil,2023-02-08,Bretagne,Morbihan,120.24,3:34:15,831,251,2760,150,64,33.7,62.2,Dégagé,5,73,3,11.3,ENE
7,Warren Barguil,2023-02-04,Bretagne,Morbihan,65.63,1:54:57,658,232,1431,69,59,34.3,69.0,Dégagé,5,95,4,7.0,NNE
8,Warren Barguil,2023-02-04,Bretagne,Morbihan,69.52,1:49:41,409,264,1589,84,68,38.0,60.1,Dégagé,4,93,3,6.8,NNE
9,Warren Barguil,2023-02-02,Bretagne,Morbihan,201.78,6:02:17,2540,247,4643,245,63,33.4,66.7,Quelques nuages,6,88,4,8.0,NW
10,Warren Barguil,2023-02-01,Bretagne,Morbihan,60.33,2:54:06,1075,119,1244,999,99,20.8,51.9,Quelques nuages,5,93,3,7.5,NW
11,Warren Barguil,2023-03-28,Bretagne,Morbihan,46.78,1:24:35,295,203,988,38,52,33.2,48.6,Vent,10,73,7,24.3,SSE
12,Warren Barguil,2023-03-25,Bretagne,Morbihan,61.67,2:56:41,929,233,2161,110,60,20.9,58.9,Nuages,13,75,13,21.2,SW
13,Warren Barguil,2023-03-24,Bretagne,Morbihan,129.43,4:00:08,1466,216,2910,123,55,32.3,59.1,Vent,11,85,11,26.9,WSW
14,Warren Barguil,2023-03-23,Bretagne,Morbihan,96.69,3:04:37,1215,221,2207,99,57,31.4,70.0,Vent,12,91,12,26.5,SW
15,Warren Barguil,2023-03-22,Bretagne,Finistère,55.7,1:49:28,858,216,1286,56,55,30.5,77.0,Vent,12,93,12,36.0,SW
16,Warren Barguil,2023-03-20,Bretagne,Morbihan,57.15,1:40:34,344,230,1252,60,59,34.1,58.8,Nuages,12,81,12,19.7,SSW
17,Warren Barguil,2023-03-15,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,152.11,4:45:05,1842,246,3447,203,63,32.0,69.7,Nuages,13,31,13,8.3,NNW
18,Warren Barguil,2023-03-14,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,59.54,1:50:49,141,193,1232,49,49,32.2,52.8,Dégagé,16,63,16,21.4,WSW
19,Warren Barguil,2023-03-01,Bretagne,Morbihan,61.62,2:50:18,1271,138,1407,999,99,21.7,60.9,Dégagé,7,56,3,25.7,NE
20,Warren Barguil,2023-04-28,Bretagne,Morbihan,133.7,3:59:58,1293,220,2987,131,56,33.4,67.4,Nuages,13,95,13,7.1,W
21,Warren Barguil,2023-04-09,Bretagne,Morbihan,50.74,2:25:21,1121,264,2033,120,68,20.9,55.6,Nuages,10,76,8,15.0,ESE
