date, pm25, pm10, o3, no2
2024/1/1, 35, 8, 31, 3
2024/1/2, 22, 16, 32, 3
2024/1/3, 41, 14, 23, 7
2024/1/4, 40, 11, 24, 9
2024/1/5, 33, 9, 20, 6
2024/1/6, 31, 8, 22, 3
2024/1/7, 31, 12, 20, 4
2024/1/8, 43, 15, 16, 8
2024/1/9, 54, 19, 14, 9
2024/1/10, 66, 26, 8, 8
2024/1/11, 82, 35, 9, 11
2024/1/12, 101, 27, 12, 6
2024/1/13, 85, 42, 2, 12
2024/1/14, 114, 41, 5, 9
2024/1/15, 114, 16, 15, 10
2024/1/16, 55, 10, 26, 6
2024/1/17, 25, 6, 29, 3
2024/1/18, 18, 12, 19, 8
2024/1/19, 40, 20, 18, 10
2024/1/20, 67, 17, 13, 7
2024/1/21, 60, 13, 20, 9
2024/1/22, 42, 12, 23, 6
2024/1/23, 35, 15, 10, 9
2024/1/24, 41, 16, 9, 8
2024/1/25, 52, 16, 9, 8
2024/1/26, 45, 13, 12, 3
2024/1/27, 45, 9, 21, 3
2024/1/28, 33, 9, 18, 3
2024/1/29, 31, , , 
2023/10/1, 20, 14, 34, 8
2023/10/2, 35, 14, 32, 2
2023/10/3, 33, 13, 29, 7
2023/10/4, 23, 13, 32, 12
2023/10/5, 26, 17, 32, 14
2023/10/6, 34, 13, 34, 11
2023/10/7, 35, 16, 35, 13
2023/10/8, 42, 22, 36, 11
2023/10/9, 49, 20, 34, 12
2023/10/10, 44, 28, 28, 14
2023/10/11, 59, 30, 32, 11
2023/10/12, 60, 29, 34, 4
2023/10/13, 58, 10, 28, 1
2023/10/14, 23, 7, 28, 4
2023/10/15, 16, 11, 26, 4
2023/10/16, 16, 12, 31, 2
2023/10/17, 19, 12, 24, 4
2023/10/18, 27, 7, 24, 3
2023/10/19, 13, 7, 33, 1
2023/10/20, 18, 9, 32, 2
2023/10/21, 19, 9, 24, 3
2023/10/22, 21, 8, 25, 6
2023/10/23, 19, 5, 25, 3
2023/10/24, 12, 8, 28, 1
2023/10/25, 22, 7, 32, 5
2023/10/26, 19, 11, 31, 3
2023/10/27, 26, 9, 27, 1
2023/10/28, 24, 7, 27, 2
2023/10/29, 21, 7, 27, 3
2023/10/30, 14, 12, 27, 5
