date,min,max,median,q1,q3,stdev,count
2020-04-18T00:00:00.000Z,2.08,35.78,9.51,5.53,10.92,5.043,134
2020-04-19T00:00:00.000Z,0.84,257.02,10.5,2.76,14.06,17.66,534
2020-04-20T00:00:00.000Z,5.2,156.57,60.94,42.72,90.6,37.818,495
2020-04-21T00:00:00.000Z,1.81,173.72,7.48,2.9,134.04,64.415,348
2020-04-22T00:00:00.000Z,2.74,47.8,6.19,3.58,12.16,5.697,388
2020-04-23T00:00:00.000Z,10.75,38.74,19,16.28,29.35,7.472,450
2020-04-24T00:00:00.000Z,7.49,363.18,15.41,10.53,26.72,24.802,490
2020-04-25T00:00:00.000Z,11.6,49.14,25.15,16.67,35.74,10.975,461
2020-04-26T00:00:00.000Z,9.3,62.3,24.34,17.13,42.78,15.692,512
2020-04-27T00:00:00.000Z,18.76,38.68,29.65,27.2,31.45,4.024,341
2020-04-28T00:00:00.000Z,4.55,29.02,12.07,6.98,28.45,9.372,7
2020-04-29T00:00:00.000Z,1.3,3.15,3.14,1.3,3.15,0.87,3
2020-04-30T00:00:00.000Z,0.4,1.38,0.8,0.69,0.87,0.162,290
2020-05-01T00:00:00.000Z,0.1,3.27,0.65,0.5,0.92,0.463,535
2020-05-02T00:00:00.000Z,0.1,10.43,1.18,0.7,1.51,0.899,467
2020-05-03T00:00:00.000Z,0.1,16.55,1.17,0.9,1.98,1.535,487
2020-05-04T00:00:00.000Z,0.1,7.25,0.85,0.59,1.44,1.458,488
2020-05-05T00:00:00.000Z,0.25,4.04,1.23,0.77,1.86,0.734,457
2020-05-06T00:00:00.000Z,0.6,13.9,3.23,1.9,7.01,2.747,254
2020-05-07T00:00:00.000Z,1.2,10.66,7.36,2.37,8.28,3.085,352
2020-05-08T00:00:00.000Z,0.86,5.84,1.85,1.38,3.68,1.344,326
2020-05-09T00:00:00.000Z,2.65,20.36,6.02,3.9,11.86,5.364,319
2020-05-10T00:00:00.000Z,2.13,89.1,17.36,14.46,20.09,10.779,209
2020-05-11T00:00:00.000Z,1.1,3.86,1.8,1.48,2.34,0.526,335
2020-05-12T00:00:00.000Z,0.7,1.82,1.08,0.97,1.21,0.203,241
2020-05-13T00:00:00.000Z,0.79,1.94,1.26,1.13,1.42,0.215,129
2020-05-14T00:00:00.000Z,0.4,1.92,0.8,0.68,0.95,0.224,419
2020-05-15T00:00:00.000Z,0.3,3.84,1.1,0.82,1.36,0.651,489
2020-05-16T00:00:00.000Z,0.6,5.11,2.58,1.64,3.68,1.119,331
2020-05-17T00:00:00.000Z,0.35,5.91,2.35,0.77,3.91,1.71,325
2020-05-21T00:00:00.000Z,0.3,7.41,1.21,0.75,1.92,1.129,274
2020-05-22T00:00:00.000Z,1.97,5.44,2.96,2.54,3.58,0.743,516
2020-05-23T00:00:00.000Z,0.72,5.7,1.4,1.17,1.9,0.515,428
2020-05-24T00:00:00.000Z,0.56,4.08,1.14,0.93,1.37,0.421,331
2020-05-25T00:00:00.000Z,0.5,2.35,1.2,1.02,1.4,0.287,527
2020-05-26T00:00:00.000Z,0.75,2.83,1.4,1.2,1.6,0.31,502
2020-05-27T00:00:00.000Z,0.8,2.47,1.5,1.2,1.77,0.341,521
2020-05-28T00:00:00.000Z,0.4,4.03,1.2,0.8,1.65,0.768,542
2020-05-29T00:00:00.000Z,0.3,5.57,0.9,0.73,1.2,0.663,540
2020-05-30T00:00:00.000Z,0.37,4.03,0.7,0.6,1.02,0.408,557
2020-05-31T00:00:00.000Z,0.32,5.35,0.7,0.56,1.17,0.531,497
2020-06-01T00:00:00.000Z,0.2,1.65,0.68,0.5,0.85,0.238,493
2020-06-02T00:00:00.000Z,0.3,1.95,0.75,0.6,1,0.31,523
2020-06-03T00:00:00.000Z,0.6,17.52,8.32,1.86,10.27,4.536,449
