,Station,Date,PM 2.5
0,Dijon,2022-01-01,37
1,Dijon,2022-01-01,37
2,Dijon,2022-01-02,32
3,Dijon,2022-01-03,49
4,Dijon,2022-01-05,34
5,Dijon,2022-01-05,34
6,Dijon,2022-01-06,34
7,Dijon,2022-01-07,37
8,Dijon,2022-01-08,43
9,Dijon,2022-01-10,17
10,Dijon,2022-01-10,17
11,Dijon,2022-01-11,16
12,Dijon,2022-01-12,40
13,Dijon,2022-01-13,48
14,Dijon,2022-01-14,64
15,Dijon,2022-01-15,121
16,Dijon,2022-01-16,92
17,Dijon,2022-01-17,84
18,Dijon,2022-01-18,123
19,Dijon,2022-01-19,51
20,Dijon,2022-01-20,53
21,Dijon,2022-01-21,31
22,Dijon,2022-01-22,22
23,Dijon,2022-01-23,31
24,Dijon,2022-01-24,40
25,Dijon,2022-01-25,56
26,Dijon,2022-01-26,62
27,Dijon,2022-01-27,46
28,Dijon,2022-01-28,41
29,Dijon,2022-01-31,39
30,Dijon,2022-01-31,39
31,Dijon,2022-02-01,26
32,Dijon,2022-02-02,31
33,Dijon,2022-02-03,18
34,Dijon,2022-02-05,35
35,Dijon,2022-02-05,35
36,Dijon,2022-02-06,45
37,Dijon,2022-02-07,22
38,Dijon,2022-02-08,17
39,Dijon,2022-02-09,42
40,Dijon,2022-02-10,67
41,Dijon,2022-02-11,54
42,Dijon,2022-02-12,20
43,Dijon,2022-02-13,47
44,Dijon,2022-02-14,52
45,Dijon,2022-02-15,21
46,Dijon,2022-02-16,15
47,Dijon,2022-02-17,24
48,Dijon,2022-02-18,8
49,Dijon,2022-02-19,4
50,Dijon,2022-02-20,17
51,Dijon,2022-02-21,15
52,Dijon,2022-02-23,32
53,Dijon,2022-02-23,32
54,Dijon,2022-02-24,30
55,Dijon,2022-02-25,33
56,Dijon,2022-02-26,11
57,Dijon,2022-02-27,18
58,Dijon,2022-02-28,24
59,Dijon,2022-03-01,30
60,Dijon,2022-03-02,57
61,Dijon,2022-03-03,69
62,Dijon,2022-03-05,70
63,Dijon,2022-03-06,55
64,Dijon,2022-03-06,55
65,Dijon,2022-03-07,52
66,Dijon,2022-03-08,54
67,Dijon,2022-03-09,84
68,Dijon,2022-03-11,42
69,Dijon,2022-03-11,42
70,Dijon,2022-03-12,32
71,Dijon,2022-03-13,33
72,Dijon,2022-03-14,40
73,Dijon,2022-03-16,29
74,Dijon,2022-03-16,29
75,Dijon,2022-03-17,49
76,Dijon,2022-03-19,47
77,Dijon,2022-03-19,47
78,Dijon,2022-03-20,68
79,Dijon,2022-03-21,50
80,Dijon,2022-03-22,48
81,Dijon,2022-03-23,61
82,Dijon,2022-03-24,62
83,Dijon,2022-03-25,73
84,Dijon,2022-03-26,56
85,Dijon,2022-03-28,62
86,Dijon,2022-03-28,62
87,Dijon,2022-03-29,62
88,Dijon,2022-03-30,65
89,Dijon,2022-03-31,62
90,Dijon,2022-04-02,21
91,Dijon,2022-04-02,21
92,Dijon,2022-04-03,32
93,Dijon,2022-04-04,32
94,Dijon,2022-04-05,42
95,Dijon,2022-04-06,32
96,Dijon,2022-04-07,16
97,Dijon,2022-04-08,15
