date, pm25, pm10, o3, no2, so2, co
2024/1/1, 28, 7, , 4, , 
2024/1/2, 17, 9, , 6, , 
2024/1/3, 28, 12, , 8, , 
2024/1/4, 25, 6, , 8, , 
2024/1/5, 23, 4, , 6, , 
2024/1/6, 19, 12, , 5, , 
2024/1/7, 49, 11, , 6, , 
2024/1/8, 43, 14, , 10, , 
2024/1/9, 49, 25, , 17, , 
2024/1/10, 72, 37, , 22, , 
2024/1/11, 100, 26, , 20, , 
2024/1/12, 68, 27, , 17, , 
2024/1/13, 74, 27, , 11, , 
2024/1/14, 84, 13, , 15, , 
2024/1/15, 36, 22, , 21, , 
2024/1/16, 51, 24, , 16, , 
2024/1/17, 71, 20, , 21, , 
2024/1/18, 61, 25, , 20, , 
2024/1/19, 74, 17, , 9, , 
2024/1/20, 64, 13, , 5, , 
2024/1/21, 50, 13, , 5, , 
2024/1/22, 32, 16, , 11, , 
2024/1/23, 41, 25, , 9, , 
2024/1/24, 50, 19, , 14, , 
2024/1/25, 44, 16, , 15, , 
2024/1/26, 38, 25, , 18, , 
2024/1/27, 66, 17, , 8, , 
2024/1/28, 57, 12, , 5, , 
2024/1/29, 50, , , , , 
2023/10/1, 41, 22, , 9, , 
2023/10/2, 58, 13, , 7, , 
2023/10/3, 33, 14, , 10, , 
2023/10/4, 25, 15, , 14, , 
2023/10/5, 28, 18, , 12, , 
2023/10/6, 50, 13, , 8, , 
2023/10/7, 35, 19, , 18, , 
2023/10/8, 46, 25, , 20, , 
2023/10/9, 60, 22, , 16, , 
2023/10/10, 54, 24, , 11, , 
2023/10/11, 55, 17, , 10, , 
2023/10/12, 45, 23, , 7, , 
2023/10/13, 53, 9, , 9, , 
2023/10/14, 29, 9, , 10, , 
2023/10/15, 28, 18, , 11, , 
2023/10/16, 48, 14, , 9, , 
2023/10/17, 34, 13, , 8, , 
2023/10/24, 36, 9, , 12, , 
2023/10/25, 27, 13, , 10, , 
2023/10/26, 44, 8, , 13, , 
2023/10/27, 27, 6, , 4, , 
2023/10/28, 17, 5, , 4, , 
2023/10/29, 18, 10, , 10, , 
2023/10/30, 28, 9, , 10, , 
2023/10/31, 31, 7, , 4, , 
2023/11/1, 19, 6, , 3, , 
2023/11/2, 13, 6, , 6, , 
2023/11/3, 19, 7, , 5, , 
2023/11/4, 18, 7, , 5, , 
2023/11/5, 20, 8, , 11, , 
2023/11/6, 26, 6, , 10, , 
2023/11/7, 23, 6, , 6, , 
2023/11/8, 22, 8, , 11, , 
2023/11/9, 25, 6, , 10, , 
2023/11/10, 22, 16, , 15, , 
2023/11/11, 44, 12, , 8, , 
2023/11/12, 44, 12, , 6, , 
2023/11/13, 29, 12, , 10, , 
2023/11/14, 31, 14, , 13, , 
2023/11/15, 32, 18, , 14, , 
2023/11/16, 47, 20, , 19, , 
2023/11/17, 55, 9, , 7, , 
2023/11/18, 32, 15, , 4, , 
2023/11/19, 30, 9, , 11, , 
2023/11/20, 30, 10, , 10, , 
2023/11/21, 35, 21, , 15, , 
2023/11/22, 63, 14, , 11, , 
2023/11/23, 35, 11, , 8, , 
2023/11/24, 25, 8, , 10, , 
2023/11/25, 25, 15, , 11, , 
2023/11/26, 49, 8, , 10, , 
2023/11/27, 32, 11, , 12, , 
2023/11/28, 37, 22, , 17, , 
2023/11/29, 58, 28, , 16, , 
2023/11/30, 83, 27, , 14, , 
2023/12/1, 81, 28, , 19, , 
2023/12/2, 86, 10, , 9, , 
2023/12/3, 68, 10, , 9, , 
2023/12/5, 57, 18, , 18, , 
2023/12/6, 55, 13, , 7, , 
2023/12/7, 41, 22, , 14, , 
2023/12/8, 50, 13, , 6, , 
2023/12/9, 32, 19, , 5, , 
2023/12/10, 42, 18, , 9, , 
2023/12/11, 37, , , 11, , 
2023/12/15, 67, 15, , 10, , 
2023/12/16, 39, 19, , 10, , 
2023/12/17, 55, 22, , 11, , 
2023/12/18, 64, 14, , 11, , 
2023/12/19, 47, 11, , 12, , 
2023/12/20, 28, 10, , 7, , 
2023/12/21, 25, 8, , 8, , 
2023/12/22, 23, 8, , 8, , 
2023/12/23, 22, 4, , 2, , 
2023/12/24, 15, 3, , 2, , 
2023/12/25, 13, 22, , 17, , 
2023/12/26, 51, 12, , 6, , 
2023/12/27, 35, 11, , 5, , 
2023/12/28, 29, 7, , 6, , 
2023/12/29, 21, 9, , 5, , 
2023/12/30, 23, 5, , 3, , 
2023/12/31, 20, 9, , 5, , 
2023/7/1, 25, 18, , 4, , 
2023/7/2, 59, 15, , 4, , 
2023/7/3, 33, 14, , 7, , 
2023/7/4, 40, 11, , 4, , 
