date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.75,6.06,1.5,1.18,2.13,0.801,324
2019-12-10T00:00:00.000Z,1.3,14.94,2.34,1.82,4.25,3.185,415
2019-12-11T00:00:00.000Z,3.07,19.45,6.86,5.35,9,2.386,427
2019-12-12T00:00:00.000Z,0.86,10.7,2.12,1.56,2.8,1.05,486
2019-12-13T00:00:00.000Z,0.38,9.13,1.7,1.34,2.63,1.2,565
2019-12-14T00:00:00.000Z,0.79,10.03,2.41,1.45,3.5,1.801,400
2019-12-15T00:00:00.000Z,0.85,11.18,2.54,1.76,3.85,1.287,569
2019-12-16T00:00:00.000Z,0.85,2.27,1.56,1.28,1.84,0.318,287
2019-12-17T00:00:00.000Z,1.52,6.92,3.01,2.64,3.45,0.787,289
2019-12-18T00:00:00.000Z,1.88,6.73,3.63,3.12,4.19,0.753,467
2019-12-19T00:00:00.000Z,1.17,11.66,2.29,1.85,3.18,0.936,552
2019-12-20T00:00:00.000Z,0.22,14.72,1.03,0.66,1.74,1.459,575
2019-12-21T00:00:00.000Z,0.53,7,1.24,0.95,2.16,1.618,559
2019-12-22T00:00:00.000Z,0.35,3.95,0.94,0.75,1.23,0.444,560
2019-12-23T00:00:00.000Z,0.5,9.77,1.85,1.35,4.07,2.318,568
2019-12-24T00:00:00.000Z,1.9,17.3,5.54,3.35,9.72,3.77,583
2019-12-25T00:00:00.000Z,2.9,17.13,7.67,5.49,9.96,2.764,580
2019-12-26T00:00:00.000Z,2.9,16.3,9.4,7.72,12.23,2.985,579
2019-12-27T00:00:00.000Z,1.28,13.85,3.78,2.98,6.55,3.304,563
2019-12-28T00:00:00.000Z,1.7,9.76,4.75,3.44,6.1,1.875,582
2019-12-29T00:00:00.000Z,8.26,20.5,13.35,10.15,15.89,3.25,585
2019-12-30T00:00:00.000Z,15.13,37.9,17.95,16.72,19.52,2.586,572
2019-12-31T00:00:00.000Z,16.23,36.29,23.66,21.84,27.32,4.433,558
2020-01-01T00:00:00.000Z,12.8,23.88,18.26,16.05,19.55,2.332,567
2020-01-02T00:00:00.000Z,9.36,28.46,15.13,11.86,21.86,5.491,567
2020-01-03T00:00:00.000Z,10.7,28.45,18.77,14.06,21.85,4.876,549
2020-01-04T00:00:00.000Z,1.4,35.2,4.13,2.96,22.83,10.843,556
2020-01-05T00:00:00.000Z,1.5,24.56,2.56,2.19,4,3.613,554
2020-01-06T00:00:00.000Z,7.8,49.17,12.48,10.07,14.25,7.474,530
2020-01-07T00:00:00.000Z,2.6,24.86,9.6,4.98,12.74,5.908,519
2020-01-08T00:00:00.000Z,5.14,25.97,14.06,12.65,15.36,2.944,501
2020-01-09T00:00:00.000Z,1.27,17.35,3.85,1.98,10.66,4.973,520
2020-01-10T00:00:00.000Z,0.5,14.28,2.1,1.2,2.52,1.424,430
2020-01-11T00:00:00.000Z,2.24,10.57,4.21,3.3,5,1.047,516
2020-01-12T00:00:00.000Z,5.12,32.4,11.28,9.02,13.03,5.164,549
2020-01-13T00:00:00.000Z,2.18,23.58,13.82,9.94,18.46,5.988,483
2020-01-14T00:00:00.000Z,1.3,3.8,2.08,1.75,2.31,0.449,443
2020-01-15T00:00:00.000Z,0.84,8.69,1.4,1.2,2.27,1.326,459
2020-01-16T00:00:00.000Z,1.21,12.38,2.86,2.2,3.82,1.342,476
2020-01-17T00:00:00.000Z,0.65,17.48,2.04,1.72,3.22,1.443,465
2020-01-18T00:00:00.000Z,0.82,9.3,2.19,1.4,3.38,1.245,502
2020-01-19T00:00:00.000Z,1.23,5.58,3.25,2.59,3.6,0.819,468
2020-01-20T00:00:00.000Z,2.88,7.85,4.53,4.01,4.88,0.832,368
2020-01-21T00:00:00.000Z,4.84,27.55,8.48,6.9,11.08,3.81,456
2020-01-22T00:00:00.000Z,16.88,22.55,20.39,18.23,21.2,1.85,19
2020-01-23T00:00:00.000Z,26.02,38.61,34.47,33.26,36.25,2.068,85
2020-01-24T00:00:00.000Z,22.78,41.12,32.09,29.3,34.82,3.592,274
2020-01-25T00:00:00.000Z,5.78,237.13,32.11,10.27,35.99,17.155,300
2020-01-26T00:00:00.000Z,1.82,16.53,10.18,3.89,13.68,4.786,312
2020-01-27T00:00:00.000Z,2.06,19.39,6.7,2.78,10.96,5.1,255
2020-01-28T00:00:00.000Z,0.5,8.1,1.79,1.23,2.37,1.086,272
2020-01-29T00:00:00.000Z,0.57,11.6,2.45,1.75,4.13,2.947,307
2020-01-30T00:00:00.000Z,2.87,16.72,6.67,4.07,9.8,3.248,291
2020-01-31T00:00:00.000Z,4.51,16.14,7.55,6.22,10.14,2.737,287
2020-02-01T00:00:00.000Z,1.8,17.16,9.4,3.7,12.27,4.356,324
2020-02-02T00:00:00.000Z,2.97,15.45,7.68,5.27,11.98,3.672,339
2020-02-03T00:00:00.000Z,3.08,77.9,7.22,4.9,9.47,5.175,317
2020-02-04T00:00:00.000Z,0.14,5.12,1.1,0.7,1.56,1.239,263
2020-02-05T00:00:00.000Z,1.1,9.75,1.74,1.5,2.21,0.709,244
2020-02-06T00:00:00.000Z,2.25,19.66,4.47,3.14,6.4,3.061,240
2020-02-07T00:00:00.000Z,1.1,33.52,9.97,5.01,13.26,5.326,217
2020-02-08T00:00:00.000Z,0.83,11.92,3.64,1.34,5.18,2.07,197
2020-02-09T00:00:00.000Z,1,5.98,2.23,1.65,3.3,0.921,362
2020-02-10T00:00:00.000Z,1.1,5.56,2.93,2.19,3.58,0.847,385
2020-02-11T00:00:00.000Z,0.52,11.35,2,1.48,2.75,1.18,371
2020-02-12T00:00:00.000Z,0.87,46.78,2.96,1.79,3.69,3.328,369
2020-02-13T00:00:00.000Z,1.35,9.19,3.08,2.31,4.83,1.59,365
2020-02-14T00:00:00.000Z,0.55,8.68,1.55,1.18,2.38,1.517,382
2020-02-15T00:00:00.000Z,0.9,9.61,4.86,2.25,6.53,2.166,321
2020-02-16T00:00:00.000Z,1.35,5.48,2.8,2.34,3.56,0.795,376
2020-02-17T00:00:00.000Z,0.62,25.75,2.72,1.8,3.73,3.889,352
2020-02-18T00:00:00.000Z,0.91,18.8,4.92,2.22,8.15,4.07,306
2020-02-19T00:00:00.000Z,0.95,12.75,4.19,2.7,5.36,1.872,451
2020-02-20T00:00:00.000Z,1.08,10.02,6.31,2.76,7.34,2.444,494
2020-02-21T00:00:00.000Z,0.86,7.56,1.78,1.32,3.25,1.775,430
2020-02-22T00:00:00.000Z,1.85,38.7,6.06,3.21,8.42,3.807,458
2020-02-23T00:00:00.000Z,1.3,12.84,7.97,5.22,9.32,2.937,442
2020-02-24T00:00:00.000Z,1.13,10.19,6.35,3.28,7.78,2.531,527
2020-02-25T00:00:00.000Z,0.55,17.1,6.75,4.78,8.06,3.198,462
2020-02-26T00:00:00.000Z,0.2,3.1,1.05,0.82,1.28,0.427,406
2020-02-27T00:00:00.000Z,0.6,15.35,1.67,0.95,3.12,1.408,550
2020-02-28T00:00:00.000Z,0.65,9.67,2.12,1.44,3.24,1.321,559
2020-02-29T00:00:00.000Z,0.68,43.32,1.6,1.35,1.85,2.709,562
2020-03-01T00:00:00.000Z,0.44,6.35,1.47,1,1.94,0.789,569
2020-03-02T00:00:00.000Z,0.3,5.6,1.27,0.8,1.85,0.937,484
2020-03-03T00:00:00.000Z,0.55,2.99,1.28,1.03,1.65,0.474,422
2020-03-04T00:00:00.000Z,0.82,5.25,1.98,1.64,2.29,0.63,574
2020-03-05T00:00:00.000Z,0.32,7.48,0.75,0.6,1.28,0.718,571
2020-03-06T00:00:00.000Z,0.4,3.28,1.38,1.02,1.88,0.59,569
2020-03-07T00:00:00.000Z,2.04,10.78,4.15,3.41,4.88,1.46,577
2020-03-08T00:00:00.000Z,1.05,11.16,4.3,2.29,7.11,2.668,577
2020-03-09T00:00:00.000Z,0.35,88.9,1.35,1.1,1.9,4.571,571
