date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,2.93,63.4,6.07,4.7,9.53,6.792,192
2019-12-10T00:00:00.000Z,2.13,25.57,4.57,3.45,6.02,3.358,245
2019-12-11T00:00:00.000Z,0.23,25,1.83,1.35,2.82,2.923,257
2019-12-12T00:00:00.000Z,0.5,11.83,2.6,1.73,4,2.157,271
2019-12-13T00:00:00.000Z,1.27,15.6,3.8,3.2,4.59,2.24,286
2019-12-14T00:00:00.000Z,0.97,15,4.03,3.23,5.47,1.91,203
2019-12-15T00:00:00.000Z,1.27,5.6,2.33,2.02,2.71,0.683,285
2019-12-16T00:00:00.000Z,0.5,7.1,2.4,1.42,3.6,1.584,148
2019-12-17T00:00:00.000Z,1,22.27,2.7,2.29,3.53,3.553,150
2019-12-18T00:00:00.000Z,1.23,7.93,2.63,2.12,3.19,0.801,240
2019-12-19T00:00:00.000Z,1.03,26.9,3.3,2.79,3.8,1.688,285
2019-12-20T00:00:00.000Z,0.1,10,1.7,1,2.25,1.037,293
2019-12-21T00:00:00.000Z,0.8,11.03,2.92,2.17,4.15,2.459,288
2019-12-22T00:00:00.000Z,1.47,12.9,3.59,2.77,4.8,1.991,290
2019-12-23T00:00:00.000Z,0.25,6.33,3.63,2.97,4.3,1.304,295
2019-12-24T00:00:00.000Z,0.9,19.37,5.2,3.64,6.67,2.624,295
2019-12-25T00:00:00.000Z,2.17,13.07,5.23,4.23,6.57,1.92,295
2019-12-26T00:00:00.000Z,2.1,116.47,6.57,4.69,8.78,13.518,296
2019-12-27T00:00:00.000Z,1.37,60.6,4.8,3.8,9.27,6.677,295
2019-12-28T00:00:00.000Z,1.5,32.9,5.34,4.23,10.72,4.302,292
2019-12-29T00:00:00.000Z,8.52,43.13,12.2,10.87,22.87,7.957,301
2019-12-30T00:00:00.000Z,15.87,79.93,23,20.13,30.93,13.005,290
2019-12-31T00:00:00.000Z,15.13,49.95,22.4,19.45,27.23,6.064,293
2020-01-01T00:00:00.000Z,0.17,32.13,3.21,1,8.38,5.78,296
2020-01-02T00:00:00.000Z,0.23,18.53,3.6,2.4,5.09,3.873,291
2020-01-03T00:00:00.000Z,0.53,18.87,3.99,2.79,5.85,2.642,288
2020-01-04T00:00:00.000Z,1.67,93.87,7.33,3.95,14.47,10.957,291
2020-01-05T00:00:00.000Z,1.5,61.23,14.98,4.26,27.34,12.784,292
2020-01-06T00:00:00.000Z,1,16,8.36,4.57,10.19,3.669,284
2020-01-07T00:00:00.000Z,0.2,17.37,2.9,1.63,4.53,2.346,271
2020-01-08T00:00:00.000Z,0.4,6.63,2.93,1.73,4.07,1.471,271
2020-01-09T00:00:00.000Z,1,27.9,3.23,2.33,4.59,2.051,289
2020-01-10T00:00:00.000Z,0.4,109,2.2,1.43,12.1,10.705,268
