date, pm25, pm10, o3, no2, co
2024/1/1, 19, 4, 28, 2, 
2024/1/2, 12, 10, 31, 4, 
2024/1/3, 29, 12, 28, 1, 
2024/1/4, 32, 9, 24, 4, 
2024/1/5, 27, 6, 21, 3, 
2024/1/6, 24, 9, 22, 2, 
2024/1/7, 33, 11, 24, 2, 
2024/1/8, 46, 18, 13, 3, 
2024/1/9, 64, 27, 14, 4, 
2024/1/10, 84, 31, 12, 11, 
2024/1/11, 92, 20, 24, 6, 
2024/1/12, 66, 15, 19, 2, 
2024/1/13, 58, 35, 11, 4, 
2024/1/14, 106, 24, 17, 9, 
2024/1/15, 73, 37, 22, 6, 
2024/1/16, 106, 11, 25, 4, 
2024/1/17, 36, 10, 24, 6, 
2024/1/18, 36, 16, 24, 7, 
2024/1/19, 56, 18, 23, 3, 
2024/1/20, 63, 10, 26, 1, 
2024/1/21, 37, 7, 27, 3, 
2024/1/22, 22, 14, 24, 3, 
2024/1/23, 39, 2, 22, 2, 
2024/1/24, 5, 6, 20, 2, 
2024/1/25, 16, 10, 25, 7, 
2024/1/26, 30, 23, 24, 4, 
2024/1/27, 71, 24, 14, 2, 
2024/1/28, 76, 11, 9, 2, 
2024/1/29, 41, , , , 
2023/10/1, 40, 16, 34, 1, 
2023/10/2, 49, 9, 29, 2, 
2023/10/3, 23, 9, 29, 4, 
2023/10/4, 18, 10, 30, 2, 
2023/10/5, 23, 10, 32, 5, 
2023/10/6, 25, 11, 35, 3, 
2023/10/7, 25, 30, 28, 2, 
2023/10/8, 46, 36, 28, 6, 
2023/10/9, 53, 32, 31, 6, 
2023/10/10, 52, 24, 33, 3, 
2023/10/11, 46, 26, 29, 2, 
2023/10/12, 50, 25, 32, 2, 
2023/10/13, 48, 8, 29, 1, 
2023/10/14, 17, 5, 26, 1, 
2023/10/15, 11, 8, 25, 1, 
2023/10/16, 16, 15, 25, 2, 
2023/10/17, 28, 7, 24, 1, 
2023/10/18, 17, 6, 27, , 
2023/10/19, 13, 4, 27, 1, 
2023/10/20, 8, 7, 30, 2, 
2023/10/21, 16, 9, 26, 1, 
2023/10/22, 23, 7, 15, 2, 
2023/10/23, 21, 6, 26, 1, 
2023/10/24, 13, 4, 24, 1, 
2023/10/25, 9, 10, 29, 1, 
2023/10/26, 23, 8, 27, 3, 
2023/10/27, 16, 6, 27, , 
2023/10/28, 13, 6, 28, , 
2023/10/29, 13, 5, 25, , 
2023/10/30, 8, 9, 21, 1, 
2023/10/31, 20, 8, 25, , 
2023/11/1, 17, 10, 29, 3, 
2023/11/2, 24, 5, 25, 2, 
2023/11/3, 12, 7, 31, 1, 
2023/11/4, 18, 6, 29, 3, 
2023/11/5, 16, 5, 27, 2, 
2023/11/6, 13, 6, 23, 4, 
2023/11/7, 15, 5, 28, , 
2023/11/8, 14, 6, 25, 3, 
2023/11/9, 15, 7, 24, 5, 
2023/11/10, 17, 10, 21, 1, 
2023/11/11, 26, 12, 28, 1, 
2023/11/12, 33, 7, 31, 3, 
2023/11/13, 18, 8, 27, 2, 
2023/11/14, 16, 12, 22, 2, 
2023/11/15, 31, 7, 24, 1, 
2023/11/16, 17, 8, 21, 3, 
2023/11/17, 20, 8, 21, 2, 
2023/11/18, 18, 10, 27, 2, 
2023/11/19, 25, 11, 28, 3, 
2023/11/20, 29, 5, 20, 3, 
2023/11/21, 14, 12, 16, 6, 
2023/11/22, 40, 13, 19, 5, 
2023/11/23, 42, 9, 28, 2, 
2023/11/24, 22, 12, 24, 6, 
2023/11/25, 33, 12, 23, 3, 
2023/11/26, 42, 6, 24, 3, 
2023/11/27, 19, 7, 21, 5, 
2023/11/28, 22, 15, 13, 3, 
2023/11/29, 47, 19, 10, 4, 
2023/11/30, 64, 18, 14, 4, 
2023/12/1, 62, 19, 14, 6, 
2023/12/2, 66, 12, 20, 1, 
2023/12/3, 44, 3, 24, 1, 
2023/12/4, 12, 6, 23, 2, 
2023/12/5, 17, 17, 14, 5, 
2023/12/6, 53, 9, 20, 1, 
2023/12/7, 32, 13, 22, 3, 
2023/12/8, 35, 9, 30, 1, 
2023/12/9, 22, 11, 27, 2, 
2023/12/10, 30, 6, 26, 2, 
2023/12/11, 16, 7, 25, 4, 
2023/12/12, 17, 6, 26, 4, 
2023/12/13, 17, 6, 17, 3, 
2023/12/14, 16, 13, 11, 6, 
2023/12/15, 45, 19, 14, 5, 
2023/12/16, 64, 11, 10, 1, 
2023/12/17, 45, 8, 14, 2, 
2023/12/18, 36, 8, 18, 2, 
2023/12/19, 29, 8, 22, 2, 
2023/12/20, 21, 5, 28, 2, 
2023/12/21, 14, 7, 29, 2, 
2023/12/22, 20, 3, 27, 1, 
2023/12/23, 10, 5, 29, 4, 
2023/12/24, 13, 7, 23, 5, 
