,Station,Date,PM 2.5
0,Paris,2021-01-01,61
1,Paris,2021-01-02,94
2,Paris,2021-01-03,125
3,Paris,2021-01-04,109
4,Paris,2021-01-05,76
5,Paris,2021-01-06,86
6,Paris,2021-01-06,86
7,Paris,2021-01-08,77
8,Paris,2021-01-08,77
9,Paris,2021-01-09,68
10,Paris,2021-01-10,90
11,Paris,2021-01-12,91
12,Paris,2021-01-12,91
13,Paris,2021-01-13,47
14,Paris,2021-01-15,33
15,Paris,2021-01-15,33
16,Paris,2021-01-16,70
17,Paris,2021-01-18,57
18,Paris,2021-01-18,57
19,Paris,2021-01-19,57
20,Paris,2021-01-20,43
21,Paris,2021-01-22,30
22,Paris,2021-01-22,30
23,Paris,2021-01-24,48
24,Paris,2021-01-24,48
25,Paris,2021-01-26,41
26,Paris,2021-01-27,58
27,Paris,2021-01-28,62
28,Paris,2021-01-28,62
29,Paris,2021-01-29,40
30,Paris,2021-01-31,44
31,Paris,2021-01-31,44
32,Paris,2021-02-01,54
33,Paris,2021-02-02,46
34,Paris,2021-02-03,45
35,Paris,2021-02-05,47
36,Paris,2021-02-05,47
37,Paris,2021-02-06,66
38,Paris,2021-02-08,56
39,Paris,2021-02-09,96
40,Paris,2021-02-10,98
41,Paris,2021-02-11,84
42,Paris,2021-02-12,98
43,Paris,2021-02-12,98
44,Paris,2021-02-13,64
45,Paris,2021-02-14,59
46,Paris,2021-02-15,64
47,Paris,2021-02-16,61
48,Paris,2021-02-18,53
49,Paris,2021-02-19,49
50,Paris,2021-02-19,49
51,Paris,2021-02-21,55
52,Paris,2021-02-22,39
53,Paris,2021-02-23,68
54,Paris,2021-02-24,63
55,Paris,2021-02-24,63
56,Paris,2021-02-25,77
57,Paris,2021-02-27,48
58,Paris,2021-02-27,48
59,Paris,2021-03-01,76
60,Paris,2021-03-01,76
61,Paris,2021-03-02,65
62,Paris,2021-03-04,108
63,Paris,2021-03-04,108
64,Paris,2021-03-05,65
65,Paris,2021-03-06,57
66,Paris,2021-03-07,64
67,Paris,2021-03-09,91
68,Paris,2021-03-09,91
69,Paris,2021-03-11,98
70,Paris,2021-03-12,29
71,Paris,2021-03-13,35
72,Paris,2021-03-13,35
73,Paris,2021-03-14,35
74,Paris,2021-03-15,34
75,Paris,2021-03-16,36
76,Paris,2021-03-18,42
77,Paris,2021-03-18,42
78,Paris,2021-03-20,48
79,Paris,2021-03-21,69
80,Paris,2021-03-22,63
81,Paris,2021-03-22,63
82,Paris,2021-03-24,87
83,Paris,2021-03-24,87
84,Paris,2021-03-26,69
