date, pm25, pm10, o3, no2, so2
2024/1/1, 25, 4, 30, 3, 
2024/1/2, 13, 10, 29, 4, 
2024/1/3, 29, 13, 33, 7, 
2024/1/4, 35, 9, 28, 10, 
2024/1/5, 25, 9, 20, 8, 
2024/1/6, 32, 13, 22, 5, 
2024/1/7, 43, 14, 23, 8, 
2024/1/8, 49, 17, 11, 8, 
2024/1/9, 55, 24, 9, 11, 
2024/1/10, 68, 27, 20, 13, 
2024/1/11, 78, 14, 23, 6, 
2024/1/12, 44, 22, , , 
2024/1/13, 72, 22, , , 
2024/1/14, 73, 17, 11, 20, 
2024/1/15, 49, 31, 8, 21, 
2024/1/16, 81, 12, 26, 10, 
2024/1/17, 47, 19, 22, 13, 
2024/1/18, 60, 39, 2, 26, 
2024/1/19, 110, 28, 17, 16, 
2024/1/20, 88, 11, 26, 7, 
2024/1/21, 43, 11, 29, 4, 
2024/1/22, 30, 15, 27, 9, 
2024/1/23, 40, 21, 28, 7, 
2024/1/24, 48, 9, 22, 11, 
2024/1/25, 30, 14, 25, 9, 
2024/1/26, 36, 23, 8, 15, 
2024/1/27, 66, 17, 6, 12, 
2024/1/28, 59, 21, , 10, 
2024/1/29, 69, , , , 
2023/10/1, 41, 21, 24, 10, 1
2023/10/2, 53, 11, 29, 6, 1
2023/10/3, 32, 13, 23, 9, 1
2023/10/4, 32, 15, 21, 10, 1
2023/10/5, 32, 14, 27, 9, 1
2023/10/6, 33, 14, 27, 10, 1
2023/10/7, 39, 15, 22, 8, 1
2023/10/8, 39, 21, 22, 12, 2
2023/10/9, 52, 23, 25, 13, 1
2023/10/10, 45, 23, 25, 11, 1
2023/10/11, 46, 19, 13, 12, 1
2023/10/12, 45, 30, 30, 6, 1
2023/10/13, 58, 10, 22, 6, 1
2023/10/14, 25, 7, 25, 5, 1
2023/10/15, 23, 15, 23, 5, 1
2023/10/16, 26, 11, 18, 5, 1
2023/10/17, 25, 10, 24, 5, 1
2023/10/18, 25, 11, 20, 7, 1
2023/10/19, 27, 8, 22, 10, 1
2023/10/20, 18, 5, 26, 4, 1
2023/10/21, 15, 7, 24, 6, 1
2023/10/22, 21, 12, 13, 8, 1
2023/10/23, 33, 10, 23, 9, 1
2023/10/24, 25, 6, 19, 7, 1
2023/10/25, 17, 12, 18, 9, 1
2023/10/26, 31, 10, 22, 9, 1
2023/10/27, 26, 6, 24, 5, 1
2023/10/28, 18, 8, 27, 5, 1
2023/10/29, 18, 8, 15, 11, 1
2023/10/30, 21, 10, 19, 8, 1
2023/10/31, 25, 8, 24, 5, 1
2023/11/1, 19, 7, 29, 2, 1
2023/11/2, 15, 7, 22, 6, 1
2023/11/3, 17, 7, 27, 4, 1
2023/11/4, 21, 7, 26, 4, 1
2023/11/5, 19, 10, 24, 10, 1
2023/11/6, 25, 8, 24, 11, 1
2023/11/7, 20, 8, 25, 7, 1
2023/11/8, 21, 8, 23, 8, 
2023/11/9, 22, 7, 24, 5, 
2023/11/10, 20, 13, 15, 14, 
2023/11/11, 40, 9, 27, 8, 
2023/11/12, 32, 13, 25, 7, 
2023/11/13, 35, 14, 25, 5, 
2023/11/14, 36, 17, 21, 13, 
2023/11/15, 41, 9, 19, 10, 
2023/11/16, 29, 12, 16, 15, 
2023/11/17, 34, 7, 16, 10, 
2023/11/18, 23, 14, 27, 5, 
2023/11/19, 38, 9, 25, 7, 
2023/11/20, 24, 6, 16, 5, 
2023/11/21, 17, 14, 13, 12, 
2023/11/22, 40, 13, 27, 10, 
2023/11/23, 33, 12, 28, 5, 
2023/11/24, 31, 13, 23, 10, 
2023/11/25, 39, 18, 15, 12, 
2023/11/26, 58, 8, 24, 9, 
2023/11/27, 27, 12, 19, 12, 
2023/11/28, 37, 18, 9, 18, 
2023/11/29, 59, 19, 15, 10, 
2023/11/30, 59, 25, 11, 11, 
2023/12/1, 76, 32, 7, 14, 1
2023/12/2, 93, 21, 15, 8, 
2023/12/3, 68, 8, 20, 9, 
2023/12/4, 30, 7, 12, 9, 
2023/12/5, 28, 23, 2, 17, 
2023/12/6, 61, 20, 12, 8, 
2023/12/7, 63, 17, 14, 15, 
2023/12/8, 46, 14, 30, 5, 
2023/12/9, 37, 17, 27, 5, 
2023/12/10, 46, 22, 24, 11, 
2023/12/11, 54, 12, 23, 10, 
2023/12/12, 34, 10, 23, 8, 
2023/12/13, 33, 9, 14, 9, 
2023/12/14, 29, 21, 14, 14, 
2023/12/15, 60, , , , 
2023/12/19, 33, 14, 25, 13, 
2023/12/20, 33, 11, 30, 4, 
2023/12/21, 34, 11, 30, 3, 
2023/12/22, 31, 8, 28, 5, 
2023/12/23, 21, 10, 28, 4, 
2023/12/24, 31, 4, 28, 3, 
2023/12/25, 13, 12, 26, 9, 
2023/12/26, 35, 10, 20, 6, 
2023/12/27, 33, 12, 26, 4, 
2023/12/28, 32, 10, 28, 4, 
2023/12/29, 29, 9, 24, 5, 
2023/12/30, 31, 7, 30, 1, 
2023/12/31, 20, 10, 28, 3, 
2023/7/1, 31, 26, 35, 3, 1
2023/7/2, 67, 15, 29, 3, 1
2023/7/3, 40, 14, 24, 5, 1
2023/7/4, 33, 10, 29, 3, 1
2023/7/5, 25, 10, 34, 5, 1
2023/7/6, 24, 15, 43, 6, 1
2023/7/7, 32, 12, 40, 6, 1
2023/7/8, 31, 9, 28, 2, 1
2023/7/9, 24, 9, 31, 4, 1
2023/7/10, 21, 9, 30, 4, 1
2023/7/11, 19, 9, 30, 3, 1
2023/7/12, 23, 10, 27, 5, 1
2023/7/13, 25, 11, 33, 3, 1
2023/7/14, 23, 7, 29, 3, 1
2023/7/15, 16, 10, 22, 3, 1
2023/7/16, 31, 9, 28, 5, 1
2023/7/17, 21, 10, 36, 4, 1
2023/7/18, 19, 11, 28, 4, 1
2023/7/19, 23, 14, 32, 5, 1
2023/7/20, 33, 10, 34, 4, 1
2023/7/21, 24, 11, 29, 5, 1
2023/7/22, 27, 6, 25, 3, 1
2023/7/23, 17, 6, 23, 3, 1
2023/7/24, 15, 6, 27, 2, 1
2023/7/25, 17, 9, 26, 6, 1
2023/7/26, 22, 7, 18, 5, 1
2023/7/27, 16, 5, 22, 3, 1
2023/7/28, 14, 7, 29, 3, 1
2023/7/29, 18, 10, 26, 3, 1
2023/7/30, 28, 7, 21, 4, 1
2023/7/31, 19, 9, 23, 4, 1
2023/8/1, 26, 6, 25, 4, 1
2023/8/2, 14, 7, 29, 3, 1
2023/8/3, 19, 9, 28, 4, 1
2023/8/4, 26, 8, 23, 4, 1
2023/8/5, 21, 6, 30, 1, 1
2023/8/6, 14, 8, 25, 4, 1
2023/8/7, 21, 10, 28, 5, 1
2023/8/8, 22, 6, 23, 3, 1
2023/8/9, 15, 11, 34, 6, 1
2023/8/10, 23, 12, 20, 6, 1
2023/8/11, 27, 7, 27, 4, 1
2023/8/12, 19, 7, 27, 3, 1
2023/8/13, 21, 10, 30, 4, 1
2023/8/14, 22, 9, 32, 3, 1
2023/8/15, 24, 8, 28, 2, 1
2023/8/16, 15, 13, 36, 3, 1
2023/8/17, 32, 23, 25, 4, 1
2023/8/18, 63, 8, 28, 3, 1
2023/8/19, 20, 8, 31, 2, 1
2023/8/20, 20, 8, 27, 2, 1
2023/8/21, 18, 10, 28, 4, 1
2023/8/22, 18, 12, 31, 4, 1
2023/8/23, 24, 14, 28, 5, 1
2023/8/24, 36, 11, 30, 3, 1
2023/8/25, 29, 6, 25, 4, 1
2023/8/26, 14, 6, 25, 3, 1
2023/8/27, 17, 6, 30, 3, 1
2023/8/28, 16, 10, 26, 6, 1
2023/8/29, 23, 8, 29, 5, 1
2023/8/30, 22, 10, 17, 9, 1
2023/8/31, 26, 6, 19, 6, 1
2023/9/1, 16, 7, 22, 2, 1
2023/9/2, 18, 10, 27, 2, 1
2023/9/3, 34, 10, 33, 3, 1
2023/9/4, 24, 16, 35, 7, 1
2023/9/5, 34, 24, 42, 8, 1
2023/9/6, 45, 16, 48, 7, 1
2023/9/7, 36, 24, 50, 10, 1
2023/9/8, 44, 28, 43, 7, 1
2023/9/9, 56, 22, 45, 4, 1
2023/9/10, 52, 16, 20, 6, 1
2023/9/11, 48, 11, 25, 5, 1
2023/9/12, 35, 13, 27, 4, 1
2023/9/13, 32, 14, , , 1
2023/9/14, 36, 13, 35, 7, 1
2023/9/15, 35, 13, 32, 5, 
2023/9/16, 33, 11, 22, 5, 1
2023/9/17, 33, 9, 26, 5, 1
2023/9/18, 21, 11, 24, 6, 1
2023/9/19, 28, 10, 28, 5, 1
2023/9/20, 23, 6, 23, 5, 1
2023/9/21, 15, 5, 22, 7, 1
2023/9/22, 14, 7, 27, 6, 1
2023/9/23, 21, 8, 30, 5, 1
2023/9/24, 25, 9, 20, 7, 1
2023/9/25, 22, 11, 25, 7, 1
2023/9/26, 25, 13, 27, 7, 
2023/9/27, 32, 18, 22, 7, 1
2023/9/28, 40, 11, 26, 5, 1
2023/9/29, 29, 13, 25, 7, 1
2023/9/30, 40, 12, 23, 7, 1
2023/4/1, 30, 10, 35, 2, 1
2023/4/2, 30, 14, 30, 5, 1
2023/4/3, 47, 12, 36, 8, 1
2023/4/4, 36, 26, 37, 12, 1
2023/4/5, 68, 14, 39, 8, 1
2023/4/6, 45, 11, 32, 7, 1
2023/4/7, 31, 11, 33, 6, 1
2023/4/8, 36, 14, 37, 6, 1
2023/4/9, 48, 10, 31, 8, 1
2023/4/10, 34, 13, 29, 8, 1
2023/4/11, 31, 6, 37, 5, 1
2023/4/12, 15, 13, 35, 6, 1
2023/4/13, 34, 9, 26, 10, 
2023/4/14, 27, 10, 30, 5, 
2023/4/15, 31, 15, 41, 8, 
2023/4/16, 49, 17, 29, 7, 1
2023/4/17, 55, 36, 36, 5, 1
2023/4/18, 95, 17, 31, 4, 1
2023/4/19, 53, 17, 37, 5, 1
2023/4/20, 43, 15, 37, 8, 1
2023/4/21, 51, 15, 35, 8, 1
2023/4/22, 48, 7, 40, 4, 
2023/4/23, 21, 11, 37, 7, 1
2023/4/24, 34, 11, 38, 4, 1
2023/4/25, 31, 13, 34, 5, 1
2023/4/26, 36, 12, 29, 6, 
2023/4/27, 35, 7, 27, 5, 1
2023/4/28, 20, 13, 31, 3, 1
2023/4/29, 46, 16, 35, 4, 1
2023/4/30, 53, 17, 33, 4, 1
2023/5/1, 53, 14, 33, 7, 1
2023/5/2, 41, 16, 39, 5, 1
2023/5/3, 42, 14, 36, 5, 1
2023/5/4, 32, 8, 29, 7, 1
2023/5/5, 19, 10, 23, 6, 1
2023/5/6, 29, 9, 24, 4, 1
2023/5/7, 33, 12, 25, 4, 1
2023/5/8, 41, 7, 28, 7, 1
2023/5/9, 23, 10, 31, 4, 1
2023/5/10, 29, 10, 35, 4, 1
2023/5/11, 27, 10, 25, 4, 1
2023/5/12, 32, 29, 41, 3, 1
2023/5/13, 78, 21, 39, 2, 1
2023/5/14, 62, 16, 33, 3, 1
2023/5/15, 53, 9, 34, 5, 1
2023/5/16, 22, 12, 36, 5, 1
2023/5/17, 31, 14, 38, 4, 1
2023/5/18, 41, 19, 39, 5, 1
2023/5/19, 54, 18, 35, 3, 1
2023/5/20, 48, 19, 37, 3, 1
2023/5/21, 52, 16, 33, 3, 1
2023/5/22, 47, 16, 33, 3, 1
2023/5/23, 45, 11, 36, 3, 1
2023/5/24, 29, 18, 38, 4, 1
2023/5/25, 52, 22, 42, 3, 1
2023/5/26, 54, 21, 38, 3, 1
2023/5/27, 53, 20, 44, 3, 1
2023/5/28, 57, 18, 37, 2, 1
2023/5/29, 47, 18, 38, 3, 1
2023/5/30, 43, 19, 43, 3, 1
2023/5/31, 48, 23, 38, 3, 1
2023/6/1, 59, 15, 35, 2, 1
