date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.45,2.78,1.08,0.9,1.31,0.376,227
2020-01-12T00:00:00.000Z,6.91,40.06,8.85,8.15,9.77,3.367,224
2020-01-13T00:00:00.000Z,5.86,14.21,9.1,7.76,12.85,2.566,477
2020-01-14T00:00:00.000Z,1.92,9.94,3.35,2.81,4.82,2.021,425
2020-01-15T00:00:00.000Z,1.02,4.22,2.34,1.69,2.72,0.647,464
2020-01-16T00:00:00.000Z,1.12,9.46,3.25,1.96,5.35,2.219,472
2020-01-17T00:00:00.000Z,1.2,8.83,5.17,4.3,6.58,1.661,458
2020-01-18T00:00:00.000Z,0.65,3.78,1.34,1.06,1.69,0.502,365
2020-01-19T00:00:00.000Z,5.82,8.74,7,6.35,7.55,0.75,58
2020-01-20T00:00:00.000Z,1.62,9.77,4.76,3.53,6.2,1.752,367
2020-01-21T00:00:00.000Z,5.74,21.28,11.99,8.03,18.41,4.898,456
2020-01-22T00:00:00.000Z,19.37,20.53,19.94,19.64,20.38,0.36,14
2020-01-23T00:00:00.000Z,12.06,23.22,19.14,17.28,20.16,2.651,85
2020-01-24T00:00:00.000Z,13.26,39.06,20.94,17.04,27.55,7.459,269
2020-01-25T00:00:00.000Z,29.02,40.09,34.86,33.65,36.84,2.307,293
2020-01-26T00:00:00.000Z,22.38,47.44,29.52,26.97,38.1,6.448,304
2020-01-27T00:00:00.000Z,1.37,30.8,5.05,3.41,9.66,6.061,253
2020-01-28T00:00:00.000Z,0.15,2.67,0.88,0.64,1.27,0.478,273
2020-01-29T00:00:00.000Z,0.15,4.7,1.33,0.91,1.98,0.801,314
2020-01-30T00:00:00.000Z,0.56,2.75,1.84,1.42,2.04,0.427,291
2020-01-31T00:00:00.000Z,0.1,2.15,0.6,0.3,0.99,0.447,287
2020-02-01T00:00:00.000Z,0.38,4.92,0.94,0.78,1.22,0.404,320
2020-02-02T00:00:00.000Z,0.12,2.58,0.66,0.52,0.88,0.343,325
2020-02-03T00:00:00.000Z,0.1,4.46,0.95,0.53,1.4,0.971,312
2020-02-04T00:00:00.000Z,0.04,3.97,1.42,0.84,1.88,0.782,253
2020-02-05T00:00:00.000Z,1.4,12.63,3.46,2.62,5.94,2.801,231
2020-02-06T00:00:00.000Z,2.45,23.01,6.11,4.51,8.13,4.828,233
2020-02-07T00:00:00.000Z,7.71,39.38,21.08,19.39,23.81,5.33,213
2020-02-08T00:00:00.000Z,4.34,24.46,13.98,9.24,16.16,4.993,195
2020-02-09T00:00:00.000Z,0.51,10.94,1.76,1.35,4.42,2.466,358
2020-02-10T00:00:00.000Z,0.1,3.85,1.5,0.85,2.08,0.883,368
2020-02-11T00:00:00.000Z,0.16,1.85,0.94,0.66,1.13,0.356,355
2020-02-12T00:00:00.000Z,0.68,3.84,1.5,1.15,1.86,0.533,373
2020-02-13T00:00:00.000Z,0.43,4.78,1.92,1.42,2.45,0.781,369
2020-02-14T00:00:00.000Z,0.56,5.9,1.3,0.95,2.15,1.269,384
2020-02-15T00:00:00.000Z,1.52,5.88,3.68,2.59,4.3,1.038,320
2020-02-16T00:00:00.000Z,0.86,2.8,1.5,1.27,1.7,0.354,376
2020-02-17T00:00:00.000Z,0,1.86,0.82,0.49,1.05,0.441,346
2020-02-18T00:00:00.000Z,0.62,2.94,1.18,0.99,1.65,0.485,300
2020-02-19T00:00:00.000Z,0.3,3.64,1.3,0.92,1.92,0.68,447
2020-02-20T00:00:00.000Z,0.8,2.91,1.4,1.2,1.76,0.443,372
2020-02-22T00:00:00.000Z,1.72,2.6,2.19,1.98,2.37,0.241,15
2020-03-07T00:00:00.000Z,1.35,8.19,3.56,2.92,5.86,1.675,363
2020-03-08T00:00:00.000Z,0.97,6.98,3.21,1.86,4.58,1.642,587
2020-03-09T00:00:00.000Z,0.1,1.82,0.74,0.31,1.04,0.428,331
2020-03-14T00:00:00.000Z,0.8,8.16,3.5,1.44,4.87,2.021,206
2020-03-15T00:00:00.000Z,1.05,8.24,2.22,1.44,3.84,1.398,292
2020-03-16T00:00:00.000Z,0.88,7.11,2.56,1.82,3.44,1.129,579
2020-03-17T00:00:00.000Z,1.86,10.82,5.11,4.24,6.35,1.564,580
2020-03-18T00:00:00.000Z,1.12,12.64,8.07,4.75,9.13,2.859,423
2020-03-21T00:00:00.000Z,1.32,9.02,2.72,2.08,5.09,1.953,248
2020-03-22T00:00:00.000Z,1.27,6.54,3.65,2.04,5.05,1.546,281
2020-03-23T00:00:00.000Z,1.15,4.62,1.82,1.6,2.15,0.479,403
2020-03-24T00:00:00.000Z,2.18,7.42,3.28,2.92,3.7,1.104,432
2020-03-25T00:00:00.000Z,4.43,8.72,7.35,6.53,8.03,1.043,266
2020-03-28T00:00:00.000Z,3.8,8.98,5.58,5.04,6.12,0.952,83
2020-03-29T00:00:00.000Z,0.56,6.4,3.04,1.98,4.13,1.465,228
2020-03-30T00:00:00.000Z,0.61,4.94,1.69,0.98,2.52,1.291,127
2020-03-31T00:00:00.000Z,1.75,5.81,3.45,2.9,4.42,0.946,255
2020-04-01T00:00:00.000Z,3.83,9.4,6.7,5.96,7.82,1.292,165
2020-04-02T00:00:00.000Z,5.8,16.86,9.26,8.25,10.61,2.132,409
2020-04-03T00:00:00.000Z,1.45,13.55,8.23,3.72,10.19,3.516,430
2020-04-04T00:00:00.000Z,3.32,9.27,6.33,4.86,7.81,1.617,215
2020-04-05T00:00:00.000Z,4.15,12.28,6.71,5.43,9.22,1.972,340
2020-04-06T00:00:00.000Z,2.38,9.96,6.74,5.64,8.19,1.812,324
