,Date,Station,PM 2.5
0,2021-01-01,Bourgogne-Franche-Comté,44.0
2,2021-01-02,Bourgogne-Franche-Comté,32.0
3,2021-01-03,Bourgogne-Franche-Comté,36.0
4,2021-01-04,Bourgogne-Franche-Comté,40.0
5,2021-01-05,Bourgogne-Franche-Comté,47.0
6,2021-01-06,Bourgogne-Franche-Comté,58.0
7,2021-01-07,,27.58744394618834
8,2021-01-08,Bourgogne-Franche-Comté,53.0
10,2021-01-09,Bourgogne-Franche-Comté,40.0
11,2021-01-10,,27.58744394618834
12,2021-01-11,Bourgogne-Franche-Comté,36.0
14,2021-01-12,Bourgogne-Franche-Comté,57.0
15,2021-01-13,Bourgogne-Franche-Comté,48.0
16,2021-01-14,Bourgogne-Franche-Comté,38.0
17,2021-01-15,Bourgogne-Franche-Comté,10.0
18,2021-01-16,Bourgogne-Franche-Comté,26.0
19,2021-01-17,Bourgogne-Franche-Comté,53.0
20,2021-01-18,Bourgogne-Franche-Comté,41.0
21,2021-01-19,Bourgogne-Franche-Comté,57.0
22,2021-01-20,,27.58744394618834
23,2021-01-21,Bourgogne-Franche-Comté,36.0
25,2021-01-22,Bourgogne-Franche-Comté,18.0
26,2021-01-23,Bourgogne-Franche-Comté,16.0
27,2021-01-24,,27.58744394618834
28,2021-01-25,Bourgogne-Franche-Comté,22.0
29,2021-01-26,Bourgogne-Franche-Comté,36.0
31,2021-01-27,Bourgogne-Franche-Comté,65.0
32,2021-01-28,Bourgogne-Franche-Comté,62.0
33,2021-01-29,Bourgogne-Franche-Comté,28.0
34,2021-01-30,Bourgogne-Franche-Comté,19.0
35,2021-01-31,Bourgogne-Franche-Comté,29.0
36,2021-02-01,Bourgogne-Franche-Comté,32.0
37,2021-02-02,Bourgogne-Franche-Comté,24.0
38,2021-02-03,Bourgogne-Franche-Comté,16.0
39,2021-02-04,Bourgogne-Franche-Comté,26.0
40,2021-02-05,Bourgogne-Franche-Comté,37.0
41,2021-02-06,,27.58744394618834
42,2021-02-07,Bourgogne-Franche-Comté,57.0
44,2021-02-08,Bourgogne-Franche-Comté,25.0
45,2021-02-09,Bourgogne-Franche-Comté,20.0
