,Date,Station,PM 2.5
0,2021-01-01,Île-de-France,61.0
1,2021-01-02,Île-de-France,94.0
2,2021-01-03,Île-de-France,125.0
3,2021-01-04,Île-de-France,109.0
4,2021-01-05,Île-de-France,76.0
5,2021-01-06,Île-de-France,86.0
7,2021-01-07,,54.39114832535885
8,2021-01-08,Île-de-France,77.0
10,2021-01-09,Île-de-France,68.0
11,2021-01-10,Île-de-France,90.0
12,2021-01-11,,54.39114832535885
13,2021-01-12,Île-de-France,91.0
15,2021-01-13,Île-de-France,47.0
16,2021-01-14,,54.39114832535885
17,2021-01-15,Île-de-France,33.0
19,2021-01-16,Île-de-France,70.0
20,2021-01-17,,54.39114832535885
21,2021-01-18,Île-de-France,57.0
23,2021-01-19,Île-de-France,57.0
24,2021-01-20,Île-de-France,43.0
25,2021-01-21,,54.39114832535885
26,2021-01-22,Île-de-France,30.0
28,2021-01-23,,54.39114832535885
29,2021-01-24,Île-de-France,48.0
31,2021-01-25,,54.39114832535885
32,2021-01-26,Île-de-France,41.0
33,2021-01-27,Île-de-France,58.0
34,2021-01-28,Île-de-France,62.0
36,2021-01-29,Île-de-France,40.0
37,2021-01-30,,54.39114832535885
38,2021-01-31,Île-de-France,44.0
40,2021-02-01,Île-de-France,54.0
41,2021-02-02,Île-de-France,46.0
42,2021-02-03,Île-de-France,45.0
43,2021-02-04,,54.39114832535885
44,2021-02-05,Île-de-France,47.0
46,2021-02-06,Île-de-France,66.0
47,2021-02-07,,54.39114832535885
48,2021-02-08,Île-de-France,56.0
49,2021-02-09,Île-de-France,96.0
50,2021-02-10,Île-de-France,98.0
51,2021-02-11,Île-de-France,84.0
52,2021-02-12,Île-de-France,98.0
54,2021-02-13,Île-de-France,64.0
55,2021-02-14,Île-de-France,59.0
56,2021-02-15,Île-de-France,64.0
57,2021-02-16,Île-de-France,61.0
58,2021-02-17,,54.39114832535885
59,2021-02-18,Île-de-France,53.0
60,2021-02-19,Île-de-France,49.0
62,2021-02-20,,54.39114832535885
63,2021-02-21,Île-de-France,55.0
64,2021-02-22,Île-de-France,39.0
65,2021-02-23,Île-de-France,68.0
66,2021-02-24,Île-de-France,63.0
68,2021-02-25,Île-de-France,77.0
69,2021-02-26,,54.39114832535885
70,2021-02-27,Île-de-France,48.0
72,2021-02-28,,54.39114832535885
73,2021-03-01,Île-de-France,76.0
75,2021-03-02,Île-de-France,65.0
76,2021-03-03,,54.39114832535885
77,2021-03-04,Île-de-France,108.0
79,2021-03-05,Île-de-France,65.0
80,2021-03-06,Île-de-France,57.0
81,2021-03-07,Île-de-France,64.0
82,2021-03-08,,54.39114832535885
83,2021-03-09,Île-de-France,91.0
85,2021-03-10,,54.39114832535885
86,2021-03-11,Île-de-France,98.0
87,2021-03-12,Île-de-France,29.0
88,2021-03-13,Île-de-France,35.0
90,2021-03-14,Île-de-France,35.0
91,2021-03-15,Île-de-France,34.0
92,2021-03-16,Île-de-France,36.0
93,2021-03-17,,54.39114832535885
94,2021-03-18,Île-de-France,42.0
96,2021-03-19,,54.39114832535885
97,2021-03-20,Île-de-France,48.0
98,2021-03-21,Île-de-France,69.0
99,2021-03-22,Île-de-France,63.0
101,2021-03-23,,54.39114832535885
102,2021-03-24,Île-de-France,87.0
104,2021-03-25,,54.39114832535885
105,2021-03-26,Île-de-France,69.0
107,2021-03-27,Île-de-France,51.0
108,2021-03-28,,54.39114832535885
109,2021-03-29,Île-de-France,55.0
111,2021-03-30,,54.39114832535885
112,2021-03-31,Île-de-France,70.0
114,2021-04-01,Île-de-France,90.0
115,2021-04-02,,54.39114832535885
116,2021-04-03,Île-de-France,70.0
117,2021-04-04,Île-de-France,60.0
119,2021-04-05,Île-de-France,69.0
120,2021-04-06,,54.39114832535885
121,2021-04-07,Île-de-France,39.0
123,2021-04-08,Île-de-France,37.0
124,2021-04-09,Île-de-France,53.0
125,2021-04-10,Île-de-France,78.0
126,2021-04-11,Île-de-France,47.0
127,2021-04-12,,54.39114832535885
128,2021-04-13,Île-de-France,43.0
130,2021-04-14,Île-de-France,67.0
131,2021-04-15,,54.39114832535885
132,2021-04-16,Île-de-France,71.0
133,2021-04-17,Île-de-France,68.0
134,2021-04-18,Île-de-France,73.0
136,2021-04-19,,54.39114832535885
137,2021-04-20,Île-de-France,71.0
138,2021-04-21,Île-de-France,76.0
140,2021-04-22,Île-de-France,110.0
141,2021-04-23,,54.39114832535885
142,2021-04-24,Île-de-France,56.0
144,2021-04-25,Île-de-France,58.0
145,2021-04-26,Île-de-France,56.0
146,2021-04-27,Île-de-France,51.0
147,2021-04-28,,54.39114832535885
148,2021-04-29,Île-de-France,71.0
150,2021-04-30,Île-de-France,76.0
151,2021-05-01,,54.39114832535885
152,2021-05-02,Île-de-France,67.0
153,2021-05-03,Île-de-France,63.0
154,2021-05-04,Île-de-France,60.0
156,2021-05-05,,54.39114832535885
157,2021-05-06,Île-de-France,35.0
158,2021-05-07,Île-de-France,43.0
160,2021-05-08,,54.39114832535885
161,2021-05-09,Île-de-France,53.0
163,2021-05-10,,54.39114832535885
164,2021-05-11,Île-de-France,44.0
165,2021-05-12,Île-de-France,45.0
167,2021-05-13,,54.39114832535885
168,2021-05-14,Île-de-France,41.0
169,2021-05-15,Île-de-France,32.0
170,2021-05-16,Île-de-France,35.0
171,2021-05-17,Île-de-France,40.0
173,2021-05-18,,54.39114832535885
174,2021-05-19,Île-de-France,37.0
175,2021-05-20,Île-de-France,32.0
176,2021-05-21,Île-de-France,37.0
177,2021-05-22,Île-de-France,41.0
179,2021-05-23,Île-de-France,34.0
180,2021-05-24,Île-de-France,36.0
181,2021-05-25,,54.39114832535885
182,2021-05-26,Île-de-France,36.0
184,2021-05-27,,54.39114832535885
185,2021-05-28,Île-de-France,49.0
186,2021-05-29,Île-de-France,61.0
187,2021-05-30,Île-de-France,43.0
188,2021-05-31,Île-de-France,36.0
190,2021-06-01,,54.39114832535885
191,2021-06-02,,54.39114832535885
192,2021-06-03,,54.39114832535885
193,2021-06-04,Île-de-France,58.0
194,2021-06-05,Île-de-France,43.0
195,2021-06-06,Île-de-France,39.0
196,2021-06-07,Île-de-France,34.0
198,2021-06-08,,54.39114832535885
199,2021-06-09,Île-de-France,67.0
201,2021-06-10,,54.39114832535885
202,2021-06-11,Île-de-France,36.0
203,2021-06-12,Île-de-France,36.0
205,2021-06-13,,54.39114832535885
206,2021-06-14,Île-de-France,29.0
207,2021-06-15,Île-de-France,36.0
208,2021-06-16,Île-de-France,57.0
209,2021-06-17,Île-de-France,79.0
211,2021-06-18,Île-de-France,51.0
212,2021-06-19,Île-de-France,53.0
213,2021-06-20,Île-de-France,59.0
214,2021-06-21,,54.39114832535885
215,2021-06-22,Île-de-France,24.0
216,2021-06-23,Île-de-France,41.0
217,2021-06-24,Île-de-France,60.0
218,2021-06-25,Île-de-France,44.0
220,2021-06-26,,54.39114832535885
221,2021-06-27,Île-de-France,45.0
223,2021-06-28,,54.39114832535885
224,2021-06-29,Île-de-France,38.0
226,2021-06-30,Île-de-France,32.0
227,2021-07-01,,54.39114832535885
228,2021-07-02,Île-de-France,53.0
229,2021-07-03,Île-de-France,66.0
230,2021-07-04,Île-de-France,46.0
231,2021-07-05,Île-de-France,30.0
232,2021-07-06,Île-de-France,36.0
234,2021-07-07,,54.39114832535885
235,2021-07-08,Île-de-France,30.0
236,2021-07-09,Île-de-France,26.0
237,2021-07-10,Île-de-France,37.0
238,2021-07-11,Île-de-France,36.0
239,2021-07-12,Île-de-France,24.0
240,2021-07-13,Île-de-France,47.0
241,2021-07-14,Île-de-France,54.0
242,2021-07-15,Île-de-France,38.0
243,2021-07-16,Île-de-France,41.0
245,2021-07-17,,54.39114832535885
246,2021-07-18,Île-de-France,66.0
