,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
0,David Gaudu,2023-01-13,Auvergne-Rhône-Alpes,Ain,90.87,2:58:12,1268,999,9999,999,99,30.6,66.9,Quelques nuages,8,88,4,23.7,SSW
1,David Gaudu,2023-01-11,Bretagne,Finistère,91.3,3:02:50,1135,999,9999,999,99,30.0,59.4,Quelques nuages,9,85,6,30.1,NW
2,David Gaudu,2023-01-10,Bretagne,Finistère,145.87,5:01:45,1954,999,9999,999,99,29.0,78.6,Pluie,12,86,12,37.9,SW
3,David Gaudu,2023-01-09,Bretagne,Finistère,121.36,4:06:43,1012,999,9999,999,99,29.5,56.8,Pluie,8,74,3,46.3,WNW
4,David Gaudu,2023-01-04,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,75.6,2:43:34,1430,999,9999,999,99,27.7,60.7,Quelques nuages,12,85,12,6.6,N
5,David Gaudu,2023-01-03,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,119.28,4:08:34,1762,999,9999,999,99,28.8,60.8,Nuages,13,83,13,6.9,NNE
6,David Gaudu,2023-01-01,Bretagne,Côtes-d'Armor,92.87,2:58:38,1025,999,9999,999,99,31.2,56.8,Nuages,10,95,10,23.3,SSW
7,David Gaudu,2023-02-28,Bretagne,Finistère,58.77,1:54:57,502,999,9999,999,99,30.7,50.7,Quelques nuages,4,92,1,15.4,NE
8,David Gaudu,2023-02-26,Auvergne-Rhône-Alpes,Drôme,192.36,5:00:23,2406,999,9999,999,99,38.4,78.0,Quelques nuages,4,57,2,36.3,N
9,David Gaudu,2023-02-25,Auvergne-Rhône-Alpes,Ain,168.84,4:24:20,3065,999,9999,999,99,38.3,88.7,Nuages,8,70,5,21.6,N
10,David Gaudu,2023-02-22,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,142.69,5:00:13,3355,999,9999,999,99,28.5,68.4,Quelques nuages,11,82,11,4.0,ENE
11,David Gaudu,2023-02-21,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,56.24,1:49:24,1013,999,9999,999,99,30.8,71.9,Quelques nuages,12,75,12,4.0,ESE
12,David Gaudu,2023-02-20,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,52.4,1:30:14,467,999,9999,999,99,34.8,63.3,Quelques nuages,13,72,13,7.4,E
13,David Gaudu,2023-02-19,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,129.54,3:09:01,2162,999,9999,999,99,41.1,75.4,Dégagé,14,68,14,8.8,ESE
14,David Gaudu,2023-02-18,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,176.76,4:06:42,2458,999,9999,999,99,43.0,82.4,Quelques nuages,13,76,13,8.7,ENE
15,David Gaudu,2023-02-17,Auvergne-Rhône-Alpes,Ain,184.78,4:22:43,1919,999,9999,999,99,42.2,79.4,Dégagé,13,62,13,5.5,ESE
16,David Gaudu,2023-02-16,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,88.49,3:00:43,1624,999,9999,999,99,29.4,63.3,Quelques nuages,12,63,12,3.9,S
17,David Gaudu,2023-02-14,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,4.07,7:16,8,999,9999,999,99,33.6,52.1,Dégagé,14,54,14,8.2,SSW
18,David Gaudu,2023-02-14,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,111.31,3:59:52,2341,999,9999,999,99,27.8,56.8,Dégagé,11,55,11,3.0,ENE
19,David Gaudu,2023-02-11,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,184.12,6:00:13,2785,999,9999,999,99,30.7,71.5,Dégagé,9,34,9,2.7,E
20,David Gaudu,2023-02-10,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,114.26,3:59:09,2413,999,9999,999,99,28.7,65.3,Dégagé,7,27,7,4.9,N
21,David Gaudu,2023-02-07,Bretagne,Finistère,152.8,5:00:34,1396,999,9999,999,99,30.5,62.5,Dégagé,3,88,1,17.0,ENE
22,David Gaudu,2023-02-06,Bretagne,Finistère,115.09,3:46:43,1661,999,9999,999,99,30.5,58.8,Dégagé,1,89,2,11.6,E
23,David Gaudu,2023-02-05,Bretagne,Côtes-d'Armor,94.46,2:57:21,1049,999,9999,999,99,32.0,58.3,Quelques nuages,7,100,5,10.9,N
24,David Gaudu,2023-02-04,Auvergne-Rhône-Alpes,Ain,68.04,1:57:39,882,999,9999,999,99,34.7,64.6,Dégagé,6,89,5,4.9,WSW
25,David Gaudu,2023-03-31,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,65.86,2:16:16,914,999,9999,999,99,29.0,61.0,Nuages,12,77,12,4.3,SW
26,David Gaudu,2023-03-29,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,73.04,2:37:11,1809,999,9999,999,99,27.9,84.9,Nuages,10,54,9,4.4,NNE
27,David Gaudu,2023-03-28,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,149.99,4:30:12,3095,999,9999,999,99,33.3,67.2,Dégagé,9,38,8,4.3,NW
28,David Gaudu,2023-03-26,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,190.65,7:01:03,4871,999,9999,999,99,27.2,70.9,Nuages,10,52,9,4.0,NNW
29,David Gaudu,2023-03-25,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,124.39,3:58:12,1974,999,9999,999,99,31.3,66.9,Dégagé,15,62,15,6.4,SE
30,David Gaudu,2023-03-23,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,172.66,5:52:13,4438,999,9999,999,99,29.4,63.9,Nuages,12,80,12,3.9,SSE
31,David Gaudu,2023-03-22,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,120.3,3:54:26,1785,999,9999,999,99,30.8,59.0,Dégagé,13,73,12,3.4,S
32,David Gaudu,2023-03-20,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,113.94,3:57:46,2167,999,9999,999,99,28.8,58.1,Dégagé,14,72,14,5.5,ESE
33,David Gaudu,2023-03-19,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,89.18,3:03:17,1769,999,9999,999,99,29.2,69.2,Nuages,13,70,13,5.3,NNE
34,David Gaudu,2023-03-18,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,57.77,1:54:50,1004,999,9999,999,99,30.2,58.4,Quelques nuages,14,57,14,17.1,E
35,David Gaudu,2023-03-12,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,115.88,2:51:47,2265,999,9999,999,99,40.5,86.1,Dégagé,19,43,19,6.3,SSE
36,David Gaudu,2023-03-11,Auvergne-Rhône-Alpes,Ain,141.44,3:56:11,3347,999,9999,999,99,35.9,78.3,Quelques nuages,22,43,22,28.0,SW
37,David Gaudu,2023-03-10,Auvergne-Rhône-Alpes,Ain,40.2,1:21:48,592,999,9999,999,99,29.5,73.7,Quelques nuages,20,28,20,32.9,WSW
38,David Gaudu,2023-03-09,Auvergne-Rhône-Alpes,Ain,211.47,5:18:29,1913,999,9999,999,99,39.8,88.1,Quelques nuages,13,56,13,10.0,SSW
39,David Gaudu,2023-03-08,Auvergne-Rhône-Alpes,Ain,165.81,4:03:47,2529,999,9999,999,99,40.8,79.7,Nuages,12,79,12,29.2,SW
40,David Gaudu,2023-03-07,Auvergne-Rhône-Alpes,Loire,32.13,34:18,178,999,9999,999,99,56.2,75.0,Nuages,8,57,5,15.7,SW
41,David Gaudu,2023-03-06,Île-de-France,Yvelines,163.06,3:28:37,903,999,9999,999,99,46.9,85.2,Nuages,6,68,3,12.7,NW
42,David Gaudu,2023-03-05,Île-de-France,Yvelines,168.61,3:49:40,1495,999,9999,999,99,44.1,85.4,Nuages,7,56,7,5.2,NNW
