Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent,Edition,Qualité Air
Thibaut Pinot,2023-07-21,Bourgogne-Franche-Comté,Jura,172.47,3:45:00,1516,999,9999,999,99,46.0,85.6,Quelques nuages,22,60,21,9.0,WNW,2023,9.0
Thibaut Pinot,2023-07-19,Auvergne-Rhône-Alpes,Savoie,162.71,4:53:14,5387,999,9999,999,99,33.3,97.7,Dégagé,24,52,24,7.2,WSW,2023,3.1
Thibaut Pinot,2023-07-18,Auvergne-Rhône-Alpes,Ain,43.32,1:39:52,801,999,9999,999,99,26.0,58.8,Quelques nuages,23,55,22,5.8,SSE,2023,4.25
Thibaut Pinot,2023-07-16,Auvergne-Rhône-Alpes,Savoie,177.38,4:44:15,4245,999,9999,999,99,37.4,92.1,Quelques nuages,25,58,26,6.3,WNW,2023,1.63
Thibaut Pinot,2023-07-15,Auvergne-Rhône-Alpes,Savoie,143.01,4:04:59,3956,999,9999,999,99,35.0,100.3,Dégagé,29,44,29,8.7,WSW,2023,2.79
Thibaut Pinot,2023-07-14,Auvergne-Rhône-Alpes,Ain,137.37,3:21:06,2366,999,9999,999,99,41.0,90.0,Quelques nuages,27,44,27,10.3,S,2023,1.67
Thibaut Pinot,2023-07-13,Auvergne-Rhône-Alpes,Loire,167.83,3:53:48,3067,999,9999,999,99,43.1,86.9,Dégagé,23,49,23,9.8,NNW,2023,1.2
Thibaut Pinot,2023-07-12,Auvergne-Rhône-Alpes,Puy-de-Dôme,179.01,4:01:26,1365,999,9999,999,99,44.5,87.7,Nuages,24,64,25,5.1,ENE,2023,2.94
Thibaut Pinot,2023-07-10,Auvergne-Rhône-Alpes,Puy-de-Dôme,46.96,1:20:24,601,999,9999,999,99,35.0,75.0,Quelques nuages,23,73,24,5.1,E,2023,4.07
Thibaut Pinot,2022-07-23,Occitanie,Lot,40.54,52:45,363,999,9999,999,99,46.1,72.9,Quelques nuages,28,44,28,10.7,NW,2022,3.7
Thibaut Pinot,2022-07-22,Occitanie,Hautes-Pyrénées,187.79,3:53:22,1199,999,9999,999,99,48.3,86.3,Quelques nuages,27,63,28,17.6,WNW,2022,5.2
Thibaut Pinot,2022-07-21,Occitanie,Hautes-Pyrénées,142.28,4:04:02,3981,999,9999,999,99,35.0,86.5,Dégagé,27,47,27,9.1,NNE,2022,4.3
Thibaut Pinot,2022-07-20,Occitanie,Haute-Garonne,128.86,3:37:06,3315,999,9999,999,99,35.6,84.9,Quelques nuages,25,56,25,5.1,N,2022,6.33
Thibaut Pinot,2022-07-18,Occitanie,Aude,56.6,1:48:00,856,999,9999,999,99,31.4,68.8,Dégagé,31,40,31,27.3,E,2022,3.62
Thibaut Pinot,2022-07-17,Grand Est,Aube,201.66,4:30:36,2207,999,9999,999,99,44.7,94.0,Dégagé,33,11,33,4.8,ENE,2022,0.8
Thibaut Pinot,2022-07-16,Auvergne-Rhône-Alpes,Loire,191.56,4:31:32,3377,999,9999,999,99,42.3,92.3,Quelques nuages,26,30,26,12.9,N,2022,1.5
Thibaut Pinot,2022-07-15,Auvergne-Rhône-Alpes,Isère,191.4,4:18:27,1723,999,9999,999,99,44.4,88.1,Dégagé,27,30,27,8.2,NW,2022,2.1
Thibaut Pinot,2022-07-14,Auvergne-Rhône-Alpes,Ain,163.78,5:02:57,4687,999,9999,999,99,32.4,94.5,Quelques nuages,25,31,25,5.9,WNW,2022,2.45
Thibaut Pinot,2022-07-09,Bourgogne-Franche-Comté,Jura,185.45,4:13:52,2326,999,9999,999,99,43.8,92.5,Quelques nuages,24,43,24,18.3,NNE,2022,18.0
Thibaut Pinot,2022-07-08,Grand Est,Meurthe-et-Moselle,176.08,4:01:27,2534,999,9999,999,99,43.8,85.0,Dégagé,23,40,23,13.1,N,2022,0.88
Thibaut Pinot,2022-07-06,Hauts-de-France,Nord,169.05,3:38:19,707,999,9999,999,99,46.5,76.9,Quelques nuages,22,49,22,11.2,NNW,2022,41.0
Thibaut Pinot,2022-07-04,Hauts-de-France,Pas-de-Calais,50.28,1:31:55,677,999,9999,999,99,32.8,67.8,Quelques nuages,18,69,18,9.4,NNW,2022,26.0
