Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent,Objectif,Qualité Air
Thibaut Pinot,2023-01-30,Occitanie,Gard,140.5,4:27:26,1866,999,9999,999,99,31.5,71.6,Quelques nuages,1,77,5,11.2,NW,2023,8.05
Thibaut Pinot,2023-01-29,Bourgogne-Franche-Comté,Haute-Saône,93.19,3:02:03,1738,999,9999,999,99,30.7,62.0,Quelques nuages,4,88,4,4.0,NE,2023,23.0
Thibaut Pinot,2023-01-27,Bourgogne-Franche-Comté,Haute-Saône,118.05,4:00:08,2082,999,9999,999,99,29.5,70.0,Quelques nuages,3,83,3,2.4,ENE,2023,16.0
Thibaut Pinot,2023-01-26,Bourgogne-Franche-Comté,Haute-Saône,144.87,4:34:03,1383,999,9999,999,99,31.7,55.6,Nuages,1,87,1,2.9,N,2023,27.58744394618834
Thibaut Pinot,2023-01-24,Bourgogne-Franche-Comté,Haute-Saône,51.48,1:24:31,427,999,9999,999,99,36.5,58.7,Quelques nuages,2,80,1,4.9,E,2023,27.0
Thibaut Pinot,2023-01-10,Bourgogne-Franche-Comté,Haute-Saône,117.23,3:59:57,1875,999,9999,999,99,29.3,71.7,Nuages,4,93,1,9.3,WSW,2023,27.58744394618834
Thibaut Pinot,2023-01-07,Bourgogne-Franche-Comté,Haute-Saône,120.84,4:00:37,2131,999,9999,999,99,30.1,76.0,Quelques nuages,6,93,5,5.8,SE,2023,21.0
Thibaut Pinot,2023-01-06,Bourgogne-Franche-Comté,Haute-Saône,123.7,4:03:27,1458,999,9999,999,99,30.5,66.5,Nuages,8,100,8,5.0,SW,2023,14.0
Thibaut Pinot,2023-01-05,Bourgogne-Franche-Comté,Haute-Saône,53.53,1:26:07,321,999,9999,999,99,37.3,67.5,Pluie,10,95,10,9.7,WSW,2023,24.0
Thibaut Pinot,2023-01-02,Provence-Alpes-Côte d'Azur,Var,140.43,4:27:32,2013,999,9999,999,99,31.5,64.8,Nuages,13,98,13,18.8,ENE,2023,43.0
Thibaut Pinot,2023-01-01,Provence-Alpes-Côte d'Azur,Var,138.02,4:40:08,2429,999,9999,999,99,29.6,61.1,Nuages,14,99,14,17.1,E,2023,42.0
Thibaut Pinot,2023-02-27,Bourgogne-Franche-Comté,Haute-Saône,116.81,3:53:13,2198,999,9999,999,99,30.1,72.1,Dégagé,0,64,5,17.7,ENE,2023,27.58744394618834
Thibaut Pinot,2023-02-25,Bourgogne-Franche-Comté,Haute-Saône,127.53,4:16:12,2508,999,9999,999,99,29.9,66.0,Nuages,3,87,2,4.9,N,2023,27.58744394618834
Thibaut Pinot,2023-02-23,Bourgogne-Franche-Comté,Haute-Saône,143.6,5:00:15,2555,999,9999,999,99,28.7,69.6,Nuages,8,97,8,4.2,SSE,2023,83.0
Thibaut Pinot,2023-02-13,Bourgogne-Franche-Comté,Haute-Saône,120.07,4:00:24,1950,999,9999,999,99,30.0,61.4,Dégagé,1,95,1,5.8,E,2023,27.58744394618834
Thibaut Pinot,2023-02-12,Bourgogne-Franche-Comté,Haute-Saône,85.61,3:00:10,1471,999,9999,999,99,28.5,66.7,Dégagé,5,79,5,4.7,ESE,2023,27.58744394618834
Thibaut Pinot,2023-02-10,Bourgogne-Franche-Comté,Haute-Saône,154.13,5:02:53,2884,999,9999,999,99,30.5,73.1,Dégagé,4,87,4,2.3,E,2023,27.58744394618834
Thibaut Pinot,2023-02-09,Bourgogne-Franche-Comté,Haute-Saône,153.4,5:01:19,2391,999,9999,999,99,30.5,64.3,Dégagé,3,75,3,4.1,E,2023,27.58744394618834
Thibaut Pinot,2023-03-28,Bourgogne-Franche-Comté,Haute-Saône,118.59,4:00:52,2196,999,9999,999,99,29.5,69.6,Dégagé,1,89,2,3.8,ENE,2023,27.58744394618834
Thibaut Pinot,2023-03-27,Bourgogne-Franche-Comté,Haute-Saône,117.37,4:00:06,2441,999,9999,999,99,29.3,64.7,Nuages,3,87,1,14.0,NW,2023,27.58744394618834
Thibaut Pinot,2023-03-25,Bourgogne-Franche-Comté,Haute-Saône,123.24,4:04:59,1753,999,9999,999,99,30.2,75.0,Pluie,7,89,3,21.6,WSW,2023,26.0
Thibaut Pinot,2023-03-23,Bourgogne-Franche-Comté,Haute-Saône,119.08,4:00:29,1781,999,9999,999,99,29.7,68.4,Nuages,10,81,9,5.4,SW,2023,25.0
Thibaut Pinot,2023-03-21,Bourgogne-Franche-Comté,Haute-Saône,88.13,3:01:38,1468,999,9999,999,99,29.1,73.9,Nuages,6,82,5,4.7,ESE,2023,25.0
Thibaut Pinot,2023-03-20,Bourgogne-Franche-Comté,Haute-Saône,87.5,3:00:33,1523,999,9999,999,99,29.1,71.2,Quelques nuages,8,89,8,4.6,NW,2023,22.0
Thibaut Pinot,2023-04-28,Auvergne-Rhône-Alpes,Ain,18.63,25:58,381,999,9999,999,99,43.1,93.0,Nuages,18,62,18,6.0,SW,2023,1.53
Thibaut Pinot,2023-04-23,Bourgogne-Franche-Comté,Haute-Saône,90.49,3:05:25,1714,999,9999,999,99,29.3,72.3,Nuages,9,93,8,4.6,ESE,2023,27.58744394618834
Thibaut Pinot,2023-04-22,Bourgogne-Franche-Comté,Haute-Saône,88.73,3:14:35,2069,999,9999,999,99,27.4,88.7,Nuages,9,75,8,7.9,ESE,2023,28.0
Thibaut Pinot,2023-04-21,Bourgogne-Franche-Comté,Haute-Saône,134.39,4:27:51,2339,999,9999,999,99,30.1,86.7,Dégagé,6,74,4,10.9,E,2023,24.0
Thibaut Pinot,2023-04-20,Bourgogne-Franche-Comté,Haute-Saône,58.41,2:01:16,841,999,9999,999,99,28.9,63.2,Quelques nuages,7,75,6,4.3,ESE,2023,27.58744394618834
Thibaut Pinot,2023-04-13,Bourgogne-Franche-Comté,Doubs,73.27,2:24:57,1159,999,9999,999,99,30.3,70.8,Nuages,5,81,2,17.1,SW,2023,23.0
Thibaut Pinot,2023-04-11,Bourgogne-Franche-Comté,Haute-Saône,139.12,4:24:20,1976,999,9999,999,99,31.6,74.9,Pluie,8,88,5,13.6,WNW,2023,27.58744394618834
Thibaut Pinot,2023-04-10,Bourgogne-Franche-Comté,Haute-Saône,85.85,3:03:49,1994,999,9999,999,99,28.0,90.2,Nuages,8,62,7,8.6,ESE,2023,27.58744394618834
Thibaut Pinot,2023-04-09,Bourgogne-Franche-Comté,Haute-Saône,42.97,1:29:50,737,999,9999,999,99,28.7,67.7,Dégagé,7,81,6,6.3,E,2023,15.0
Thibaut Pinot,2023-05-31,Bourgogne-Franche-Comté,Haute-Saône,30.12,1:04:43,321,999,9999,999,99,27.9,67.4,Dégagé,25,37,24,15.0,ENE,2023,27.58744394618834
Thibaut Pinot,2023-05-02,Bourgogne-Franche-Comté,Haute-Saône,35.58,1:10:17,422,999,9999,999,99,30.4,59.5,Quelques nuages,18,46,17,12.0,N,2023,17.0
Thibaut Pinot,2023-06-24,Hauts-de-France,Pas-de-Calais,67.25,2:01:54,739,999,9999,999,99,33.1,67.7,Dégagé,21,69,21,14.1,WSW,2023,27.0
