,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
0,Franck Bonnamour,2022-01-29,Occitanie,Gard,44.71,1:40:21,815,245,1322,162,98,26.7,62.5,Quelques nuages,2,58,0,7.9,NNW
1,Franck Bonnamour,2022-01-28,Occitanie,Gard,77.26,2:33:21,1085,267,2149,295,107,30.2,60.5,Dégagé,9,51,7,15.6,N
2,Franck Bonnamour,2022-01-26,Occitanie,Gard,80.59,2:49:55,1472,277,2350,349,111,28.5,65.0,Dégagé,13,31,13,5.5,NE
3,Franck Bonnamour,2022-01-25,Auvergne-Rhône-Alpes,Allier,72.44,2:30:34,918,237,1964,243,95,28.9,58.8,Dégagé,2,76,5,6.3,SSW
4,Franck Bonnamour,2022-01-24,Bretagne,Côtes-d'Armor,79.75,2:32:59,947,263,2313,283,105,31.3,64.2,Quelques nuages,0,95,3,12.2,ESE
5,Franck Bonnamour,2022-01-21,Bretagne,Côtes-d'Armor,75.29,2:36:56,807,223,1962,209,89,28.8,61.4,Quelques nuages,3,79,0,10.9,ENE
6,Franck Bonnamour,2022-01-07,Bretagne,Côtes-d'Armor,76.8,2:31:53,856,243,2041,242,97,30.3,62.7,Quelques nuages,6,82,1,37.8,WNW
7,Franck Bonnamour,2022-01-02,Bretagne,Côtes-d'Armor,78.07,2:43:47,775,224,1856,222,90,28.6,56.9,Quelques nuages,12,86,12,28.7,SW
8,Franck Bonnamour,2022-01-01,Bretagne,Côtes-d'Armor,58.02,2:00:02,798,237,1528,180,95,29.0,64.5,Quelques nuages,12,77,12,25.7,SSW
9,Franck Bonnamour,2022-02-28,Bretagne,Côtes-d'Armor,63.81,2:09:29,612,215,1568,161,86,29.6,56.7,Quelques nuages,9,82,6,20.2,S
10,Franck Bonnamour,2022-02-24,Bretagne,Côtes-d'Armor,40.36,1:30:25,597,232,1106,130,93,26.8,76.5,Vent,8,74,3,42.2,WNW
11,Franck Bonnamour,2022-02-23,Bretagne,Côtes-d'Armor,125.86,4:04:12,1578,283,3599,536,113,30.9,82.1,Quelques nuages,11,75,11,15.7,SW
12,Franck Bonnamour,2022-02-22,Bretagne,Côtes-d'Armor,63.36,2:12:00,789,171,1357,999,99,28.8,80.4,Quelques nuages,11,98,11,28.2,WSW
13,Franck Bonnamour,2022-02-16,Bretagne,Côtes-d'Armor,55.35,1:49:40,687,272,1559,216,109,30.3,54.9,Nuages,12,93,12,34.7,WSW
14,Franck Bonnamour,2022-02-15,Bretagne,Côtes-d'Armor,95.09,2:49:31,961,263,2368,317,105,33.7,64.9,Pluie,8,92,4,26.1,SW
15,Franck Bonnamour,2022-02-13,Bretagne,Côtes-d'Armor,96.49,3:06:46,514,241,2338,302,96,31.0,63.5,Vent,8,94,4,36.8,S
16,Franck Bonnamour,2022-02-12,Bretagne,Côtes-d'Armor,153.29,5:03:51,1647,235,3895,460,94,30.3,62.6,Dégagé,1,89,4,15.7,S
17,Franck Bonnamour,2022-02-11,Bretagne,Côtes-d'Armor,121.55,4:01:06,1471,233,3154,357,93,30.3,62.9,Quelques nuages,9,75,9,4.6,SE
18,Franck Bonnamour,2022-02-09,Bretagne,Côtes-d'Armor,107.87,3:30:02,1043,241,2870,326,96,30.8,59.8,Quelques nuages,5,100,3,7.2,SSW
19,Franck Bonnamour,2022-02-08,Bretagne,Côtes-d'Armor,75.61,2:33:46,748,226,1908,208,90,29.5,65.3,Quelques nuages,12,87,12,13.8,SW
20,Franck Bonnamour,2022-02-05,Bretagne,Côtes-d'Armor,41.86,1:30:57,416,207,1041,104,83,27.6,53.2,Quelques nuages,9,68,6,24.0,W
21,Franck Bonnamour,2022-03-30,Bretagne,Côtes-d'Armor,120.53,3:29:41,1145,267,2962,406,107,34.5,67.0,Nuages,9,94,7,18.6,N
22,Franck Bonnamour,2022-03-29,Bretagne,Côtes-d'Armor,92.91,3:01:02,827,259,2452,336,104,30.8,62.1,Quelques nuages,8,93,7,5.4,SSE
23,Franck Bonnamour,2022-03-28,Bretagne,Côtes-d'Armor,45.89,1:38:54,545,214,1116,127,86,27.8,56.4,Quelques nuages,11,83,11,10.2,SE
24,Franck Bonnamour,2022-03-26,Bretagne,Côtes-d'Armor,62.8,2:03:05,472,213,1404,148,85,30.6,67.5,Dégagé,10,81,7,21.0,ENE
25,Franck Bonnamour,2022-03-25,Bretagne,Côtes-d'Armor,77.22,2:33:09,778,245,2023,254,98,30.3,63.8,Dégagé,10,81,8,15.2,ENE
26,Franck Bonnamour,2022-03-24,Bretagne,Côtes-d'Armor,77.85,2:34:31,847,237,2059,238,95,30.2,61.9,Dégagé,9,82,8,6.7,E
27,Franck Bonnamour,2022-03-23,Bretagne,Côtes-d'Armor,95.28,3:03:43,965,280,2500,391,112,31.1,66.2,Quelques nuages,10,72,7,17.0,SE
28,Franck Bonnamour,2022-03-22,Bretagne,Côtes-d'Armor,48.07,1:33:27,500,225,1170,130,90,30.9,68.3,Dégagé,15,62,15,24.5,SE
29,Franck Bonnamour,2022-03-21,Bretagne,Côtes-d'Armor,94.64,3:00:29,1205,253,2579,315,101,31.5,70.1,Quelques nuages,10,88,10,19.1,SE
30,Franck Bonnamour,2022-03-20,Bretagne,Côtes-d'Armor,55.21,1:43:25,544,251,1472,173,100,32.0,66.8,Nuages,9,80,7,12.4,ESE
31,Franck Bonnamour,2022-03-18,Auvergne-Rhône-Alpes,Loire,45.4,1:31:24,234,228,1222,129,91,29.8,50.2,Dégagé,6,66,1,28.0,NE
32,Franck Bonnamour,2022-03-17,Bretagne,Côtes-d'Armor,77.9,2:30:03,818,268,2073,292,107,31.2,57.1,Dégagé,7,83,5,9.3,NNW
33,Franck Bonnamour,2022-03-16,Bretagne,Côtes-d'Armor,59.97,2:03:43,646,238,1578,190,95,29.1,58.2,Pluie,10,99,9,7.3,SSW
34,Franck Bonnamour,2022-03-15,Bretagne,Côtes-d'Armor,40.44,2:03:31,486,96,708,999,99,19.6,47.3,Quelques nuages,8,88,6,9.5,SSE
35,Franck Bonnamour,2022-03-09,Auvergne-Rhône-Alpes,Allier,13.2,18:46,191,360,400,64,144,42.2,74.1,Quelques nuages,16,34,16,9.5,S
36,Franck Bonnamour,2022-03-04,Bretagne,Côtes-d'Armor,49.98,1:40:33,473,235,1286,149,94,29.8,64.0,Quelques nuages,7,82,3,20.0,NNW
37,Franck Bonnamour,2022-03-03,Bretagne,Côtes-d'Armor,65.52,2:07:46,780,258,1777,227,103,30.8,57.3,Nuages,10,93,7,14.1,WNW
38,Franck Bonnamour,2022-03-02,Bretagne,Côtes-d'Armor,161.39,5:00:48,1926,250,4131,504,100,32.2,68.9,Nuages,9,93,7,17.0,SSE
39,Franck Bonnamour,2022-04-30,Bretagne,Côtes-d'Armor,110.03,3:39:26,1200,231,2766,313,92,30.1,70.5,Nuages,9,87,6,17.0,ENE
40,Franck Bonnamour,2022-04-29,Bretagne,Côtes-d'Armor,139.41,4:40:53,1408,227,3454,402,91,29.8,60.3,Nuages,10,99,10,16.3,NE
41,Franck Bonnamour,2022-04-28,Bretagne,Côtes-d'Armor,84.85,2:51:23,816,234,2247,264,94,29.7,71.3,Nuages,11,92,11,19.8,ENE
42,Franck Bonnamour,2022-04-27,Bretagne,Côtes-d'Armor,63.13,2:05:09,628,248,1690,204,99,30.3,67.7,Quelques nuages,10,82,7,23.7,E
43,Franck Bonnamour,2022-04-24,Bretagne,Côtes-d'Armor,63.64,2:07:01,324,234,1628,186,94,30.1,69.2,Nuages,11,97,11,14.2,N
44,Franck Bonnamour,2022-04-17,Bretagne,Côtes-d'Armor,81.22,2:16:43,768,275,2025,280,110,35.6,77.9,Quelques nuages,9,88,7,12.4,SSE
45,Franck Bonnamour,2022-04-16,Bretagne,Côtes-d'Armor,93.81,2:37:21,757,265,2276,298,106,35.8,69.8,Quelques nuages,9,100,8,7.1,E
46,Franck Bonnamour,2022-04-15,Bretagne,Côtes-d'Armor,94.29,3:00:08,1098,282,2471,395,113,31.4,60.7,Quelques nuages,10,98,10,4.5,S
47,Franck Bonnamour,2022-04-14,Bretagne,Côtes-d'Armor,92.65,2:59:58,949,224,2206,244,90,30.9,62.6,Dégagé,10,93,9,7.5,S
48,Franck Bonnamour,2022-04-06,Bretagne,Côtes-d'Armor,171.04,5:00:01,1705,250,4106,519,100,34.2,90.3,Quelques nuages,9,83,5,27.2,SW
49,Franck Bonnamour,2022-04-05,Bretagne,Côtes-d'Armor,92.25,3:00:17,985,233,2366,260,93,30.7,77.9,Nuages,10,93,7,18.8,WNW
50,Franck Bonnamour,2022-04-04,Bretagne,Côtes-d'Armor,56.89,2:00:13,524,187,1246,114,75,28.4,58.3,Quelques nuages,6,75,3,22.9,WSW
51,Franck Bonnamour,2022-05-30,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,39.07,1:24:58,697,186,950,999,99,27.6,60.7,Quelques nuages,23,67,23,11.5,SSE
52,Franck Bonnamour,2022-05-29,Bretagne,Côtes-d'Armor,76.55,2:31:19,801,255,1932,262,102,30.4,70.3,Dégagé,12,81,12,15.6,E
53,Franck Bonnamour,2022-05-28,Bretagne,Côtes-d'Armor,82.17,2:27:37,884,301,2275,357,120,33.4,71.5,Dégagé,13,76,13,18.9,NE
54,Franck Bonnamour,2022-05-26,Bretagne,Côtes-d'Armor,61.97,2:05:04,680,272,1589,248,109,29.7,76.5,Quelques nuages,14,82,14,17.7,NW
55,Franck Bonnamour,2022-05-25,Bretagne,Côtes-d'Armor,101.14,3:07:34,892,265,2598,355,106,32.4,66.7,Quelques nuages,12,80,12,21.5,WSW
