,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
0,Pierre Rolland,2022-01-21,Auvergne-Rhône-Alpes,Loire,37.3,1:28:01,116,999,9999,999,99,25.4,43.7,Dégagé,2,75,1,14.6,NNE
1,Pierre Rolland,2022-01-20,Auvergne-Rhône-Alpes,Loire,51.08,1:47:23,144,999,9999,999,99,28.5,42.9,Dégagé,4,76,1,10.6,N
2,Pierre Rolland,2022-01-19,Auvergne-Rhône-Alpes,Loire,117.78,3:42:07,374,999,9999,999,99,31.8,56.9,Nuages,4,93,1,10.0,SW
3,Pierre Rolland,2022-01-18,Auvergne-Rhône-Alpes,Loire,87.42,3:05:26,304,999,9999,999,99,28.3,43.4,Quelques nuages,3,94,1,15.8,ENE
4,Pierre Rolland,2022-01-17,Auvergne-Rhône-Alpes,Loire,38.95,1:30:31,144,999,9999,999,99,25.8,35.9,Quelques nuages,7,88,7,2.3,NNE
5,Pierre Rolland,2022-01-11,Auvergne-Rhône-Alpes,Loire,37.37,1:25:09,98,999,9999,999,99,26.3,44.2,Quelques nuages,1,93,2,6.7,E
6,Pierre Rolland,2022-01-09,Auvergne-Rhône-Alpes,Loire,46.45,1:44:11,134,999,9999,999,99,26.8,40.1,Nuages,6,98,2,19.3,SSW
7,Pierre Rolland,2022-01-08,Auvergne-Rhône-Alpes,Loire,46.27,1:38:53,124,999,9999,999,99,28.1,52.6,Nuages,6,95,3,17.6,WSW
8,Pierre Rolland,2022-01-07,Auvergne-Rhône-Alpes,Ain,1.0,2:20,2,999,9999,999,99,25.7,32.8,Quelques nuages,7,81,3,25.1,W
9,Pierre Rolland,2022-01-07,Auvergne-Rhône-Alpes,Loire,106.02,3:35:48,384,999,9999,999,99,29.5,53.9,Nuages,5,93,1,20.9,WSW
10,Pierre Rolland,2022-01-06,Auvergne-Rhône-Alpes,Loire,61.38,2:03:44,164,999,9999,999,99,29.8,48.9,Quelques nuages,0,92,0,3.9,SW
11,Pierre Rolland,2022-01-05,Auvergne-Rhône-Alpes,Loire,181.03,5:31:57,633,999,9999,999,99,32.7,51.8,Dégagé,2,93,1,11.8,W
12,Pierre Rolland,2022-01-03,Auvergne-Rhône-Alpes,Loire,47.03,1:29:21,114,999,9999,999,99,31.6,49.8,Nuages,12,77,12,22.3,SW
13,Pierre Rolland,2022-01-02,Auvergne-Rhône-Alpes,Ain,96.92,3:03:24,1202,999,9999,999,99,31.7,80.3,Nuages,9,44,8,10.3,WSW
14,Pierre Rolland,2022-01-01,Auvergne-Rhône-Alpes,Ain,73.9,2:45:39,1548,999,9999,999,99,26.8,81.8,Quelques nuages,9,43,8,5.9,SW
15,Pierre Rolland,2022-02-14,Auvergne-Rhône-Alpes,Loire,29.68,1:12:44,73,999,9999,999,99,24.5,42.9,Quelques nuages,7,92,4,20.1,SW
16,Pierre Rolland,2022-02-13,Auvergne-Rhône-Alpes,Ain,1.1,2:08,0,999,9999,999,99,31.1,44.6,Quelques nuages,8,47,6,12.8,SSE
17,Pierre Rolland,2022-02-13,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,155.78,4:04:44,2557,999,9999,999,99,38.2,84.7,Quelques nuages,8,62,6,11.0,ESE
