,Athlète,Date,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
0,jalabert,2023-01-29,107.04,3:51:24,1723,231,2982,208,73,27.8,66.2,Dégagé,6,55,4,6.9,NE
1,jalabert,2023-01-27,90.03,3:16:54,1303,221,2388,160,69,27.4,60.1,Nuages,5,70,2,16.8,N
2,jalabert,2023-01-26,121.7,4:36:41,1902,221,3350,225,69,26.4,58.8,Nuages,3,75,0,11.6,NNW
3,jalabert,2023-01-24,100.86,3:37:24,1471,220,2716,178,69,27.8,60.9,Quelques nuages,6,61,5,7.0,ENE
4,jalabert,2023-01-22,102.36,3:43:17,1627,230,2870,198,72,27.5,67.4,Quelques nuages,1,72,2,14.1,N
5,jalabert,2023-01-21,93.53,3:24:08,1604,235,2702,189,74,27.5,66.2,Quelques nuages,4,77,1,14.9,N
6,jalabert,2023-01-15,66.48,2:12:48,662,221,1678,106,69,30.0,57.8,Quelques nuages,8,80,5,13.5,WNW
7,jalabert,2023-01-12,116.78,4:01:21,1446,218,2960,194,69,29.0,61.4,Nuages,10,91,8,9.3,SSW
8,jalabert,2023-01-11,103.95,3:35:54,1580,239,2847,205,75,28.9,67.8,Pluie,11,95,11,13.6,W
9,jalabert,2023-01-08,101.06,3:14:54,1353,243,2661,192,76,31.1,73.4,Pluie,10,95,8,14.4,SSE
10,jalabert,2023-01-07,50.01,3:06:27,1372,213,2112,146,67,16.1,60.3,Quelques nuages,11,75,11,14.6,S
11,jalabert,2023-01-06,100.77,3:18:09,1369,254,2845,212,80,30.5,67.7,Quelques nuages,12,68,12,3.5,ESE
12,jalabert,2023-01-03,37.69,2:13:05,1005,216,1531,108,68,17.0,51.2,Quelques nuages,11,80,11,2.7,NNW
13,jalabert,2023-01-02,41.94,2:31:08,732,174,1383,78,55,16.7,46.8,Pluie,10,93,8,9.8,SSW
14,jalabert,2023-01-01,63.72,4:37:42,1821,172,2398,151,54,13.8,47.0,Quelques nuages,11,85,11,15.4,SSE
15,jalabert,2023-02-25,73.81,2:31:28,1062,241,2014,150,76,29.2,60.0,Quelques nuages,12,62,12,12.1,NNE
16,jalabert,2023-02-24,76.64,3:00:06,1001,221,2239,146,69,25.5,60.0,Nuages,8,85,6,9.6,WNW
17,jalabert,2023-02-20,103.79,3:27:11,1538,247,2825,209,78,30.1,66.6,Quelques nuages,18,37,18,4.2,E
18,jalabert,2023-02-19,80.21,2:33:30,905,246,2164,152,77,31.4,60.2,Quelques nuages,9,89,8,6.4,N
19,jalabert,2023-01-29,107.04,3:51:24,1723,231,2982,208,73,27.8,66.2,Dégagé,6,55,4,6.9,NE
20,jalabert,2023-01-27,90.03,3:16:54,1303,221,2388,160,69,27.4,60.1,Nuages,5,70,2,16.8,N
21,jalabert,2023-01-26,121.7,4:36:41,1902,221,3350,225,69,26.4,58.8,Nuages,3,75,0,11.6,NNW
22,jalabert,2023-01-24,100.86,3:37:24,1471,220,2716,178,69,27.8,60.9,Quelques nuages,6,61,5,7.0,ENE
23,jalabert,2023-01-22,102.36,3:43:17,1627,230,2870,198,72,27.5,67.4,Quelques nuages,1,72,2,14.1,N
24,jalabert,2023-01-21,93.53,3:24:08,1604,235,2702,189,74,27.5,66.2,Quelques nuages,4,77,1,14.9,N
25,jalabert,2023-01-15,66.48,2:12:48,662,221,1678,106,69,30.0,57.8,Quelques nuages,8,80,5,13.5,WNW
26,jalabert,2023-01-12,116.78,4:01:21,1446,218,2960,194,69,29.0,61.4,Nuages,10,91,8,9.3,SSW
27,jalabert,2023-01-11,103.95,3:35:54,1580,239,2847,205,75,28.9,67.8,Pluie,11,95,11,13.6,W
28,jalabert,2023-01-08,101.06,3:14:54,1353,243,2661,192,76,31.1,73.4,Pluie,10,95,8,14.4,SSE
29,jalabert,2023-01-07,50.01,3:06:27,1372,213,2112,146,67,16.1,60.3,Quelques nuages,11,75,11,14.6,S
30,jalabert,2023-01-06,100.77,3:18:09,1369,254,2845,212,80,30.5,67.7,Quelques nuages,12,68,12,3.5,ESE
31,jalabert,2023-01-03,37.69,2:13:05,1005,216,1531,108,68,17.0,51.2,Quelques nuages,11,80,11,2.7,NNW
32,jalabert,2023-01-02,41.94,2:31:08,732,174,1383,78,55,16.7,46.8,Pluie,10,93,8,9.8,SSW
33,jalabert,2023-01-01,63.72,4:37:42,1821,172,2398,151,54,13.8,47.0,Quelques nuages,11,85,11,15.4,SSE
34,jalabert,2023-02-25,73.81,2:31:28,1062,241,2014,150,76,29.2,60.0,Quelques nuages,12,62,12,12.1,NNE
35,jalabert,2023-02-24,76.64,3:00:06,1001,221,2239,146,69,25.5,60.0,Nuages,8,85,6,9.6,WNW
36,jalabert,2023-02-20,103.79,3:27:11,1538,247,2825,209,78,30.1,66.6,Quelques nuages,18,37,18,4.2,E
37,jalabert,2023-02-19,80.21,2:33:30,905,246,2164,152,77,31.4,60.2,Quelques nuages,9,89,8,6.4,N
38,jalabert,2023-02-15,100.73,3:18:24,1377,247,2732,204,78,30.5,64.4,Nuages,9,68,7,8.5,SE
39,jalabert,2023-02-14,120.74,4:00:14,1510,238,3221,231,75,30.2,63.4,Dégagé,11,46,11,11.4,SE
40,jalabert,2023-02-12,180.07,6:09:12,2462,235,4805,341,74,29.3,61.6,Dégagé,1,80,1,4.5,E
41,jalabert,2023-02-10,75.59,2:40:34,1007,224,2055,136,70,28.2,61.5,Dégagé,10,31,9,5.8,N
42,jalabert,2023-02-09,66.48,2:11:53,1010,260,1937,148,82,30.2,61.9,Quelques nuages,10,41,10,4.1,ENE
43,jalabert,2023-02-08,107.19,3:37:10,1316,232,2804,195,73,29.6,71.0,Dégagé,9,46,9,5.5,S
44,jalabert,2023-02-07,80.41,2:34:32,953,237,2093,151,75,31.2,65.2,Quelques nuages,8,64,6,18.0,ESE
45,jalabert,2023-02-05,136.93,4:54:21,2214,234,3826,281,74,27.9,68.7,Quelques nuages,11,63,11,16.0,NNE
46,jalabert,2023-02-04,103.97,3:27:17,1503,247,2886,213,78,30.1,65.5,Dégagé,11,68,11,15.0,NNE
47,jalabert,2023-03-16,71.44,2:32:21,1063,223,1841,124,70,28.1,63.0,Quelques nuages,19,47,19,15.4,SSE
48,jalabert,2023-04-28,103.36,3:34:02,1589,124,204,54,39,29.0,73.4,Nuages,18,75,18,6.0,SE
49,jalabert,2023-04-26,92.77,3:19:57,1660,231,2494,179,73,27.8,66.7,Nuages,12,91,11,5.3,S
50,jalabert,2023-04-25,77.05,2:45:27,1347,240,2173,160,75,27.9,65.7,Nuages,15,61,14,4.2,WNW
51,jalabert,2023-05-27,44.35,1:41:24,584,248,1393,116,78,26.2,65.3,Dégagé,15,83,15,3.1,SE
52,jalabert,2023-05-17,86.8,3:50:37,1926,196,2209,155,62,22.6,67.9,Dégagé,5,64,1,18.3,NNE
53,jalabert,2023-05-15,92.95,4:06:35,2068,204,2444,181,64,22.6,74.5,Nuages,7,83,6,8.9,N
54,jalabert,2023-05-14,127.06,4:17:29,2715,252,3276,268,79,29.6,82.7,Nuages,10,87,9,8.3,NNE
55,jalabert,2023-05-11,67.0,2:13:30,759,215,1614,105,68,30.1,70.3,Nuages,10,87,9,8.4,W
56,jalabert,2023-05-10,134.94,4:48:13,2023,226,3460,248,71,28.1,69.4,Nuages,15,67,14,13.2,WNW
57,jalabert,2023-05-07,70.22,2:18:27,1058,251,1905,144,79,30.4,62.7,Nuages,16,77,16,10.2,WNW
58,jalabert,2023-05-05,135.3,4:18:50,1669,267,3603,309,84,31.4,63.9,Quelques nuages,22,52,22,6.2,NW
59,jalabert,2023-06-22,95.48,3:09:24,1201,238,2505,184,75,30.2,66.1,Pluie,22,79,23,9.8,WNW
60,jalabert,2023-07-31,100.01,3:08:05,1034,223,2354,157,70,31.9,64.5,Dégagé,27,46,27,11.3,W
61,jalabert,2023-07-30,100.07,3:06:39,902,246,2607,186,77,32.2,66.3,Nuages,18,93,19,4.5,NW
62,jalabert,2023-07-27,101.03,3:20:57,1541,247,2669,204,78,30.2,71.4,Dégagé,17,89,17,4.4,E
63,jalabert,2023-07-25,100.07,3:13:08,1315,248,2638,196,78,31.1,70.9,Nuages,16,85,15,14.5,W
64,jalabert,2023-07-22,86.61,3:02:43,1386,242,2537,179,76,28.4,64.7,Dégagé,14,83,14,3.8,SW
65,jalabert,2023-07-21,100.67,3:04:17,1100,250,2580,191,79,32.8,74.2,Nuages,16,77,16,4.5,SW
66,jalabert,2023-07-17,34.92,2:00:59,1913,262,1820,143,82,17.3,75.8,Dégagé,19,50,19,4.1,W
67,jalabert,2023-07-15,90.0,2:59:09,1303,232,2199,161,73,30.1,64.7,Dégagé,19,60,18,7.5,SE
68,jalabert,2023-07-13,104.01,3:33:21,1816,249,2768,220,78,29.3,65.6,Quelques nuages,16,81,15,6.8,WNW
69,jalabert,2023-08-31,143.58,5:03:52,1967,209,3486,220,66,28.4,71.6,Quelques nuages,14,87,13,5.5,SSE
70,jalabert,2023-08-30,102.3,3:15:57,1365,223,2495,162,70,31.3,66.7,Nuages,20,56,19,8.3,W
71,jalabert,2023-08-24,89.66,2:37:19,770,201,1826,110,63,34.2,67.5,Nuages,16,81,16,5.6,SW
72,jalabert,2023-08-22,104.01,2:56:54,1209,241,2514,177,76,35.3,70.2,Quelques nuages,19,67,19,4.9,WNW
73,jalabert,2023-08-19,157.85,5:06:06,2052,203,3432,214,64,30.9,73.2,Dégagé,27,62,28,5.2,NNW
74,jalabert,2023-08-18,65.32,2:00:09,582,204,1394,86,64,32.6,69.0,Nuages,21,72,22,3.7,ESE
75,jalabert,2023-08-17,100.98,3:00:54,1105,217,2185,142,68,33.5,68.0,Nuages,30,54,31,3.6,SE
76,jalabert,2023-08-15,121.9,3:53:45,2031,260,3131,271,82,31.3,78.6,Nuages,23,77,24,5.3,NW
77,jalabert,2023-08-11,89.86,2:41:41,778,224,2061,137,70,33.3,64.3,Quelques nuages,16,89,16,14.7,SW
78,jalabert,2023-08-11,16.35,33:28,211,233,453,30,73,29.3,53.1,Quelques nuages,16,87,16,17.7,SW
79,jalabert,2023-08-10,54.56,1:45:19,463,205,1223,75,64,31.1,63.1,Nuages,17,89,18,3.6,ESE
80,jalabert,2023-08-09,142.09,4:33:37,1450,207,3176,204,65,31.2,72.1,Nuages,17,61,17,12.3,WSW
81,jalabert,2023-08-07,200.11,6:09:21,2002,221,4607,303,69,32.5,71.2,Quelques nuages,16,64,16,15.4,W
82,jalabert,2023-08-04,64.24,2:07:42,952,246,1745,126,77,30.2,73.8,Nuages,15,88,15,13.8,WNW
83,jalabert,2023-08-03,52.73,1:43:59,518,200,1173,71,63,30.4,63.5,Nuages,18,76,18,16.2,WSW
84,jalabert,2023-08-03,12.56,27:19,231,228,377,29,72,27.6,59.4,Quelques nuages,16,87,16,13.7,WSW
85,jalabert,2023-08-02,136.01,4:20:46,1664,260,3499,293,82,31.3,58.9,Nuages,19,91,19,12.7,SSW
86,jalabert,2023-09-28,69.52,2:40:13,941,205,1802,111,64,26.0,62.7,Dégagé,21,76,21,6.8,ESE
87,jalabert,2023-09-26,115.99,4:48:21,2238,215,3401,227,68,24.1,79.8,Dégagé,13,76,13,6.2,ESE
88,jalabert,2023-09-22,73.4,2:24:05,1049,220,1777,115,69,30.6,66.2,Nuages,17,72,17,14.6,W
89,jalabert,2023-09-17,102.96,3:53:04,1987,217,2729,185,68,26.5,77.0,Nuages,21,81,22,10.7,SE
90,jalabert,2023-09-07,63.9,2:03:51,563,193,1270,79,61,31.0,62.5,Dégagé,22,52,22,10.1,NNW
