,date,PM 2.5,Station
0,2021-01-01,4.5,Auvergne-Rhône-Alpes
1,2021-01-02,7.17,Auvergne-Rhône-Alpes
2,2021-01-03,5.93,Auvergne-Rhône-Alpes
3,2021-01-04,11.13,Auvergne-Rhône-Alpes
4,2021-01-05,15.79,Auvergne-Rhône-Alpes
5,2021-01-06,13.4,Auvergne-Rhône-Alpes
6,2021-01-07,9.47,Auvergne-Rhône-Alpes
7,2021-01-08,7.77,Auvergne-Rhône-Alpes
8,2021-01-09,8.11,Auvergne-Rhône-Alpes
9,2021-01-10,6.87,Auvergne-Rhône-Alpes
10,2021-01-11,9.5,Auvergne-Rhône-Alpes
11,2021-01-12,16.13,Auvergne-Rhône-Alpes
12,2021-01-13,8.36,Auvergne-Rhône-Alpes
13,2021-01-14,2.6,Auvergne-Rhône-Alpes
14,2021-01-15,1.53,Auvergne-Rhône-Alpes
15,2021-01-16,6.47,Auvergne-Rhône-Alpes
16,2021-01-17,6.3,Auvergne-Rhône-Alpes
17,2021-01-18,6.07,Auvergne-Rhône-Alpes
18,2021-01-19,7.68,Auvergne-Rhône-Alpes
19,2021-01-20,1.5,Auvergne-Rhône-Alpes
20,2021-01-21,1.47,Auvergne-Rhône-Alpes
21,2021-01-22,1.72,Auvergne-Rhône-Alpes
22,2021-01-23,1.5,Auvergne-Rhône-Alpes
23,2021-01-24,1.2,Auvergne-Rhône-Alpes
24,2021-01-25,1.5,Auvergne-Rhône-Alpes
25,2021-01-26,3.7,Auvergne-Rhône-Alpes
26,2021-01-27,6.5,Auvergne-Rhône-Alpes
27,2021-01-28,8.59,Auvergne-Rhône-Alpes
28,2021-01-29,2.2,Auvergne-Rhône-Alpes
29,2021-01-30,3.87,Auvergne-Rhône-Alpes
30,2021-01-31,9.86,Auvergne-Rhône-Alpes
31,2021-02-01,2.2,Auvergne-Rhône-Alpes
32,2021-02-02,3.47,Auvergne-Rhône-Alpes
33,2021-02-03,1.82,Auvergne-Rhône-Alpes
34,2021-02-04,7.17,Auvergne-Rhône-Alpes
35,2021-02-05,8.77,Auvergne-Rhône-Alpes
36,2021-02-06,6.6,Auvergne-Rhône-Alpes
37,2021-02-07,1.12,Auvergne-Rhône-Alpes
38,2021-02-08,3.67,Auvergne-Rhône-Alpes
39,2021-02-09,3.47,Auvergne-Rhône-Alpes
40,2021-02-10,10.68,Auvergne-Rhône-Alpes
41,2021-02-11,13.57,Auvergne-Rhône-Alpes
42,2021-02-12,15.77,Auvergne-Rhône-Alpes
43,2021-02-13,9.75,Auvergne-Rhône-Alpes
44,2021-02-14,10.74,Auvergne-Rhône-Alpes
45,2021-02-15,1.57,Auvergne-Rhône-Alpes
46,2021-02-16,1.17,Auvergne-Rhône-Alpes
47,2021-02-17,5.65,Auvergne-Rhône-Alpes
48,2021-02-18,2.29,Auvergne-Rhône-Alpes
49,2021-02-19,2.29,Auvergne-Rhône-Alpes
50,2021-02-20,2.2,Auvergne-Rhône-Alpes
51,2021-02-21,2.17,Auvergne-Rhône-Alpes
52,2021-02-22,4.17,Auvergne-Rhône-Alpes
53,2021-02-23,5.07,Auvergne-Rhône-Alpes
54,2021-02-24,4.5,Auvergne-Rhône-Alpes
55,2021-02-25,4.9,Auvergne-Rhône-Alpes
56,2021-02-26,5.74,Auvergne-Rhône-Alpes
57,2021-02-27,7.3,Auvergne-Rhône-Alpes
58,2021-02-28,7.57,Auvergne-Rhône-Alpes
59,2021-03-01,13.0,Auvergne-Rhône-Alpes
60,2021-03-02,4.9,Auvergne-Rhône-Alpes
61,2021-03-03,6.1,Auvergne-Rhône-Alpes
62,2021-03-04,9.67,Auvergne-Rhône-Alpes
63,2021-03-05,11.09,Auvergne-Rhône-Alpes
64,2021-03-06,11.8,Auvergne-Rhône-Alpes
65,2021-03-07,18.84,Auvergne-Rhône-Alpes
66,2021-03-08,10.39,Auvergne-Rhône-Alpes
67,2021-03-09,9.77,Auvergne-Rhône-Alpes
68,2021-03-10,7.2,Auvergne-Rhône-Alpes
69,2021-03-11,3.26,Auvergne-Rhône-Alpes
70,2021-03-12,1.43,Auvergne-Rhône-Alpes
71,2021-03-13,1.23,Auvergne-Rhône-Alpes
72,2021-03-14,1.3,Auvergne-Rhône-Alpes
73,2021-03-15,1.92,Auvergne-Rhône-Alpes
74,2021-03-16,2.67,Auvergne-Rhône-Alpes
75,2021-03-17,2.7,Auvergne-Rhône-Alpes
76,2021-03-18,4.09,Auvergne-Rhône-Alpes
77,2021-03-19,4.73,Auvergne-Rhône-Alpes
78,2021-03-20,3.2,Auvergne-Rhône-Alpes
79,2021-03-21,3.47,Auvergne-Rhône-Alpes
80,2021-03-22,3.97,Auvergne-Rhône-Alpes
81,2021-03-23,4.01,Auvergne-Rhône-Alpes
82,2021-03-24,8.67,Auvergne-Rhône-Alpes
83,2021-03-25,6.1,Auvergne-Rhône-Alpes
84,2021-03-26,6.1,Auvergne-Rhône-Alpes
85,2021-03-27,1.2,Auvergne-Rhône-Alpes
86,2021-03-28,2.9,Auvergne-Rhône-Alpes
87,2021-03-29,3.83,Auvergne-Rhône-Alpes
88,2021-03-30,3.63,Auvergne-Rhône-Alpes
89,2021-03-31,2.8,Auvergne-Rhône-Alpes
90,2021-04-01,2.4,Auvergne-Rhône-Alpes
91,2021-04-02,4.0,Auvergne-Rhône-Alpes
92,2021-04-03,6.17,Auvergne-Rhône-Alpes
93,2021-04-04,2.02,Auvergne-Rhône-Alpes
94,2021-04-05,3.1,Auvergne-Rhône-Alpes
95,2021-04-06,1.5,Auvergne-Rhône-Alpes
96,2021-04-07,1.8,Auvergne-Rhône-Alpes
97,2021-04-08,2.8,Auvergne-Rhône-Alpes
98,2021-04-09,1.1,Auvergne-Rhône-Alpes
99,2021-04-10,1.0,Auvergne-Rhône-Alpes
100,2021-04-11,0.7,Auvergne-Rhône-Alpes
101,2021-04-12,2.4,Auvergne-Rhône-Alpes
102,2021-04-13,2.93,Auvergne-Rhône-Alpes
103,2021-04-14,3.7,Auvergne-Rhône-Alpes
104,2021-04-15,3.3,Auvergne-Rhône-Alpes
105,2021-04-16,3.3,Auvergne-Rhône-Alpes
106,2021-04-17,4.23,Auvergne-Rhône-Alpes
107,2021-04-18,3.77,Auvergne-Rhône-Alpes
108,2021-04-19,4.67,Auvergne-Rhône-Alpes
109,2021-04-20,3.32,Auvergne-Rhône-Alpes
110,2021-04-21,3.42,Auvergne-Rhône-Alpes
111,2021-04-22,5.84,Auvergne-Rhône-Alpes
112,2021-04-23,3.83,Auvergne-Rhône-Alpes
113,2021-04-24,3.2,Auvergne-Rhône-Alpes
114,2021-04-25,2.63,Auvergne-Rhône-Alpes
115,2021-04-26,3.33,Auvergne-Rhône-Alpes
116,2021-04-27,3.1,Auvergne-Rhône-Alpes
117,2021-04-28,2.8,Auvergne-Rhône-Alpes
118,2021-04-29,6.2,Auvergne-Rhône-Alpes
119,2021-04-30,3.7,Auvergne-Rhône-Alpes
120,2021-05-01,7.29,Auvergne-Rhône-Alpes
121,2021-05-02,4.19,Auvergne-Rhône-Alpes
122,2021-05-03,3.33,Auvergne-Rhône-Alpes
123,2021-05-04,1.93,Auvergne-Rhône-Alpes
124,2021-05-05,1.23,Auvergne-Rhône-Alpes
125,2021-05-06,2.06,Auvergne-Rhône-Alpes
126,2021-05-07,1.07,Auvergne-Rhône-Alpes
127,2021-05-08,1.1,Auvergne-Rhône-Alpes
128,2021-05-09,1.0,Auvergne-Rhône-Alpes
129,2021-05-10,1.0,Auvergne-Rhône-Alpes
130,2021-05-11,0.77,Auvergne-Rhône-Alpes
131,2021-05-12,1.42,Auvergne-Rhône-Alpes
132,2021-05-13,0.7,Auvergne-Rhône-Alpes
