,date,PM 2.5,Station
0,2021-01-01,3.97,Bretagne
1,2021-01-02,2.5,Bretagne
2,2021-01-03,2.1,Bretagne
3,2021-01-04,8.07,Bretagne
4,2021-01-05,7.18,Bretagne
5,2021-01-06,13.43,Bretagne
6,2021-01-07,21.25,Bretagne
7,2021-01-08,21.05,Bretagne
8,2021-01-09,9.13,Bretagne
9,2021-01-10,5.43,Bretagne
10,2021-01-11,2.29,Bretagne
11,2021-01-12,1.42,Bretagne
12,2021-01-13,2.22,Bretagne
13,2021-01-14,1.84,Bretagne
14,2021-01-15,2.24,Bretagne
15,2021-01-16,2.1,Bretagne
16,2021-01-17,3.03,Bretagne
17,2021-01-18,4.43,Bretagne
18,2021-01-19,5.62,Bretagne
19,2021-01-20,4.4,Bretagne
20,2021-01-21,2.22,Bretagne
21,2021-01-22,1.3,Bretagne
22,2021-01-23,1.52,Bretagne
23,2021-01-24,1.2,Bretagne
24,2021-01-25,1.7,Bretagne
25,2021-01-26,3.65,Bretagne
26,2021-01-27,4.8,Bretagne
27,2021-01-28,7.6,Bretagne
28,2021-01-29,8.05,Bretagne
29,2021-01-30,7.1,Bretagne
30,2021-01-31,8.15,Bretagne
31,2021-02-01,2.8,Bretagne
32,2021-02-02,12.14,Bretagne
33,2021-02-03,4.97,Bretagne
34,2021-02-04,2.69,Bretagne
35,2021-02-05,2.7,Bretagne
36,2021-02-06,1.5,Bretagne
37,2021-02-07,2.79,Bretagne
38,2021-02-08,3.07,Bretagne
39,2021-02-09,19.5,Bretagne
40,2021-02-10,16.32,Bretagne
41,2021-02-11,17.17,Bretagne
42,2021-02-12,17.61,Bretagne
43,2021-02-13,13.51,Bretagne
44,2021-02-14,18.89,Bretagne
45,2021-02-15,6.37,Bretagne
46,2021-02-16,7.28,Bretagne
47,2021-02-17,5.95,Bretagne
48,2021-02-18,3.15,Bretagne
49,2021-02-19,3.25,Bretagne
50,2021-02-20,8.25,Bretagne
51,2021-02-21,4.03,Bretagne
52,2021-02-22,1.5,Bretagne
53,2021-02-23,3.37,Bretagne
54,2021-02-24,1.72,Bretagne
55,2021-02-25,3.6,Bretagne
56,2021-02-26,2.22,Bretagne
57,2021-02-27,3.6,Bretagne
58,2021-02-28,20.92,Bretagne
59,2021-03-01,16.55,Bretagne
60,2021-03-02,17.3,Bretagne
61,2021-03-03,11.19,Bretagne
62,2021-03-04,19.05,Bretagne
63,2021-03-05,8.31,Bretagne
64,2021-03-06,11.57,Bretagne
65,2021-03-07,16.66,Bretagne
66,2021-03-08,11.95,Bretagne
67,2021-03-09,20.0,Bretagne
68,2021-03-10,6.0,Bretagne
69,2021-03-11,4.96,Bretagne
70,2021-03-12,4.2,Bretagne
71,2021-03-13,3.04,Bretagne
72,2021-03-14,2.8,Bretagne
73,2021-03-15,2.6,Bretagne
74,2021-03-16,4.97,Bretagne
75,2021-03-17,4.9,Bretagne
76,2021-03-18,4.78,Bretagne
77,2021-03-19,2.6,Bretagne
78,2021-03-20,3.85,Bretagne
79,2021-03-21,8.23,Bretagne
80,2021-03-22,9.03,Bretagne
81,2021-03-23,11.72,Bretagne
82,2021-03-24,5.53,Bretagne
83,2021-03-25,2.29,Bretagne
84,2021-03-26,2.25,Bretagne
85,2021-03-27,2.67,Bretagne
86,2021-03-28,1.91,Bretagne
87,2021-03-29,3.41,Bretagne
88,2021-03-30,3.7,Bretagne
89,2021-03-31,5.19,Bretagne
90,2021-04-01,4.84,Bretagne
91,2021-04-02,5.03,Bretagne
92,2021-04-03,3.55,Bretagne
93,2021-04-04,6.78,Bretagne
94,2021-04-05,3.43,Bretagne
95,2021-04-06,1.3,Bretagne
96,2021-04-07,1.1,Bretagne
97,2021-04-08,2.04,Bretagne
98,2021-04-09,7.72,Bretagne
99,2021-04-10,4.05,Bretagne
100,2021-04-11,4.71,Bretagne
101,2021-04-12,1.1,Bretagne
102,2021-04-13,2.5,Bretagne
103,2021-04-14,5.93,Bretagne
104,2021-04-15,3.18,Bretagne
105,2021-04-16,13.35,Bretagne
106,2021-04-17,8.05,Bretagne
107,2021-04-18,3.79,Bretagne
108,2021-04-19,4.18,Bretagne
109,2021-04-20,7.7,Bretagne
110,2021-04-21,11.6,Bretagne
111,2021-04-22,15.67,Bretagne
112,2021-04-23,3.17,Bretagne
113,2021-04-24,2.76,Bretagne
114,2021-04-25,7.0,Bretagne
115,2021-04-26,4.2,Bretagne
116,2021-04-27,6.6,Bretagne
117,2021-04-28,2.8,Bretagne
118,2021-04-29,7.29,Bretagne
119,2021-04-30,4.07,Bretagne
120,2021-05-01,1.4,Bretagne
121,2021-05-02,1.0,Bretagne
122,2021-05-03,1.3,Bretagne
123,2021-05-04,2.0,Bretagne
124,2021-05-05,1.25,Bretagne
125,2021-05-06,2.35,Bretagne
126,2021-05-07,2.35,Bretagne
127,2021-05-08,3.42,Bretagne
128,2021-05-09,2.5,Bretagne
129,2021-05-10,1.83,Bretagne
130,2021-05-11,3.18,Bretagne
131,2021-05-12,2.04,Bretagne
132,2021-05-13,1.33,Bretagne
133,2021-05-14,1.57,Bretagne
134,2021-05-15,5.5,Bretagne
135,2021-05-16,5.39,Bretagne
136,2021-05-17,3.0,Bretagne
137,2021-05-18,1.6,Bretagne
138,2021-05-19,0.81,Bretagne
139,2021-05-20,6.55,Bretagne
140,2021-05-21,4.05,Bretagne
141,2021-05-22,1.29,Bretagne
142,2021-05-23,2.4,Bretagne
143,2021-05-24,2.75,Bretagne
144,2021-05-25,5.99,Bretagne
145,2021-05-26,4.57,Bretagne
146,2021-05-27,1.19,Bretagne
147,2021-05-28,1.5,Bretagne
148,2021-05-29,2.79,Bretagne
149,2021-05-30,2.58,Bretagne
150,2021-05-31,2.08,Bretagne
151,2021-06-01,3.0,Bretagne
152,2021-06-02,9.65,Bretagne
153,2021-06-03,1.51,Bretagne
154,2021-06-04,6.003981373690338,Bretagne
155,2021-06-05,6.003981373690338,Bretagne
156,2021-06-06,6.003981373690338,Bretagne
157,2021-06-07,6.003981373690338,Bretagne
158,2021-06-08,6.003981373690338,Bretagne
159,2021-06-09,6.003981373690338,Bretagne
160,2021-06-10,1.54,Bretagne
161,2021-06-11,3.0,Bretagne
