,date,PM 2.5,Station
0,2021-01-01,4.674106951871658,Grand Est
1,2021-01-02,4.674106951871658,Grand Est
2,2021-01-03,17.55,Grand Est
3,2021-01-04,18.89,Grand Est
4,2021-01-05,12.5,Grand Est
5,2021-01-06,11.55,Grand Est
6,2021-01-07,16.67,Grand Est
7,2021-01-08,7.22,Grand Est
8,2021-01-09,9.63,Grand Est
9,2021-01-10,7.46,Grand Est
10,2021-01-11,13.82,Grand Est
11,2021-01-12,5.97,Grand Est
12,2021-01-13,4.98,Grand Est
13,2021-01-14,3.59,Grand Est
14,2021-01-15,7.69,Grand Est
15,2021-01-16,16.48,Grand Est
16,2021-01-17,12.47,Grand Est
17,2021-01-18,7.82,Grand Est
18,2021-01-19,2.42,Grand Est
19,2021-01-20,3.07,Grand Est
20,2021-01-21,1.0,Grand Est
21,2021-01-22,1.0,Grand Est
22,2021-01-23,2.62,Grand Est
23,2021-01-24,1.38,Grand Est
24,2021-01-25,3.57,Grand Est
25,2021-01-26,3.65,Grand Est
26,2021-01-27,4.05,Grand Est
27,2021-01-28,2.25,Grand Est
28,2021-01-29,0.72,Grand Est
29,2021-01-30,2.57,Grand Est
30,2021-01-31,14.52,Grand Est
31,2021-02-01,3.6,Grand Est
32,2021-02-02,1.0,Grand Est
33,2021-02-03,0.65,Grand Est
34,2021-02-04,1.5,Grand Est
35,2021-02-05,17.88,Grand Est
36,2021-02-06,20.0,Grand Est
37,2021-02-07,2.59,Grand Est
38,2021-02-08,10.43,Grand Est
39,2021-02-09,15.95,Grand Est
40,2021-02-10,9.47,Grand Est
41,2021-02-11,7.28,Grand Est
42,2021-02-12,5.07,Grand Est
43,2021-02-13,3.08,Grand Est
44,2021-02-14,6.05,Grand Est
45,2021-02-15,13.75,Grand Est
46,2021-02-16,4.63,Grand Est
47,2021-02-17,1.7,Grand Est
48,2021-02-18,3.44,Grand Est
49,2021-02-19,3.42,Grand Est
50,2021-02-20,8.3,Grand Est
51,2021-02-21,14.55,Grand Est
52,2021-02-22,11.65,Grand Est
53,2021-02-23,7.44,Grand Est
54,2021-02-24,7.9,Grand Est
55,2021-02-25,9.69,Grand Est
56,2021-02-26,8.43,Grand Est
57,2021-02-27,4.4,Grand Est
58,2021-02-28,6.75,Grand Est
59,2021-03-01,9.5,Grand Est
60,2021-03-02,15.02,Grand Est
61,2021-03-03,17.48,Grand Est
62,2021-03-04,8.69,Grand Est
63,2021-03-05,8.43,Grand Est
64,2021-03-06,3.6,Grand Est
65,2021-03-07,8.41,Grand Est
66,2021-03-08,7.13,Grand Est
67,2021-03-09,9.81,Grand Est
68,2021-03-10,8.93,Grand Est
69,2021-03-11,0.92,Grand Est
70,2021-03-12,0.88,Grand Est
71,2021-03-13,0.65,Grand Est
72,2021-03-14,0.9,Grand Est
73,2021-03-15,1.37,Grand Est
74,2021-03-16,2.0,Grand Est
75,2021-03-17,3.3,Grand Est
76,2021-03-18,2.72,Grand Est
77,2021-03-19,6.07,Grand Est
78,2021-03-20,3.16,Grand Est
79,2021-03-21,7.34,Grand Est
80,2021-03-22,5.28,Grand Est
81,2021-03-23,10.3,Grand Est
82,2021-03-24,10.87,Grand Est
83,2021-03-25,6.96,Grand Est
84,2021-03-26,7.23,Grand Est
85,2021-03-27,1.0,Grand Est
86,2021-03-28,2.67,Grand Est
87,2021-03-29,2.65,Grand Est
88,2021-03-30,3.6,Grand Est
89,2021-03-31,5.13,Grand Est
90,2021-04-01,4.28,Grand Est
91,2021-04-02,5.7,Grand Est
92,2021-04-03,2.2,Grand Est
93,2021-04-04,2.84,Grand Est
94,2021-04-05,4.5,Grand Est
95,2021-04-06,1.4,Grand Est
96,2021-04-07,1.85,Grand Est
97,2021-04-08,2.45,Grand Est
98,2021-04-09,2.33,Grand Est
99,2021-04-10,1.02,Grand Est
100,2021-04-11,1.5,Grand Est
101,2021-04-12,2.67,Grand Est
102,2021-04-13,4.36,Grand Est
103,2021-04-14,2.33,Grand Est
104,2021-04-15,2.72,Grand Est
105,2021-04-16,2.17,Grand Est
106,2021-04-17,3.0,Grand Est
107,2021-04-18,5.34,Grand Est
108,2021-04-19,13.99,Grand Est
109,2021-04-20,10.75,Grand Est
110,2021-04-21,9.02,Grand Est
111,2021-04-22,3.35,Grand Est
112,2021-04-23,3.54,Grand Est
113,2021-04-24,4.2,Grand Est
114,2021-04-25,3.6,Grand Est
115,2021-04-26,1.73,Grand Est
116,2021-04-27,3.13,Grand Est
117,2021-04-28,5.93,Grand Est
118,2021-04-29,5.15,Grand Est
119,2021-04-30,9.55,Grand Est
120,2021-05-01,23.24,Grand Est
121,2021-05-02,8.02,Grand Est
122,2021-05-03,5.95,Grand Est
123,2021-05-04,1.2,Grand Est
124,2021-05-05,0.8,Grand Est
125,2021-05-06,1.37,Grand Est
126,2021-05-07,1.98,Grand Est
127,2021-05-08,1.2,Grand Est
128,2021-05-09,1.91,Grand Est
129,2021-05-10,1.25,Grand Est
130,2021-05-11,3.33,Grand Est
