,date,PM 2.5,Station
0,2021-01-01,122.0,Normandie
1,2021-01-02,124.0,Normandie
2,2021-01-03,93.0,Normandie
3,2021-01-04,72.0,Normandie
4,2021-01-05,87.0,Normandie
5,2021-01-06,77.0,Normandie
6,2021-01-07,74.0,Normandie
7,2021-01-08,65.0,Normandie
8,2021-01-09,96.0,Normandie
9,2021-01-10,110.0,Normandie
10,2021-01-11,86.0,Normandie
11,2021-01-12,23.0,Normandie
12,2021-01-13,31.0,Normandie
13,2021-01-14,17.0,Normandie
14,2021-01-15,67.0,Normandie
15,2021-01-16,84.0,Normandie
16,2021-01-17,48.0,Normandie
17,2021-01-18,47.0,Normandie
18,2021-01-19,29.0,Normandie
19,2021-01-20,39.0,Normandie
20,2021-01-21,19.0,Normandie
21,2021-01-22,20.0,Normandie
22,2021-01-23,34.0,Normandie
23,2021-01-24,39.0,Normandie
24,2021-01-25,29.0,Normandie
25,2021-01-26,54.0,Normandie
26,2021-01-27,37.0,Normandie
27,2021-01-28,21.0,Normandie
28,2021-01-29,35.0,Normandie
29,2021-01-30,37.0,Normandie
30,2021-01-31,59.0,Normandie
31,2021-02-01,27.0,Normandie
32,2021-02-02,30.0,Normandie
33,2021-02-03,22.0,Normandie
34,2021-02-04,35.0,Normandie
35,2021-02-05,41.0,Normandie
36,2021-02-06,55.0,Normandie
37,2021-02-07,64.0,Normandie
38,2021-02-08,97.0,Normandie
39,2021-02-09,92.0,Normandie
40,2021-02-10,65.0,Normandie
41,2021-02-11,61.0,Normandie
42,2021-02-12,46.0,Normandie
43,2021-02-13,47.0,Normandie
44,2021-02-14,61.0,Normandie
45,2021-02-15,50.0,Normandie
46,2021-02-16,30.0,Normandie
47,2021-02-17,32.0,Normandie
48,2021-02-18,31.0,Normandie
49,2021-02-19,38.0,Normandie
50,2021-02-20,49.0,Normandie
51,2021-02-21,40.0,Normandie
52,2021-02-22,61.0,Normandie
53,2021-02-23,42.0,Normandie
54,2021-02-24,49.0,Normandie
55,2021-02-25,57.0,Normandie
56,2021-02-26,49.0,Normandie
57,2021-02-27,55.0,Normandie
58,2021-02-28,78.0,Normandie
59,2021-03-01,66.0,Normandie
60,2021-03-02,96.0,Normandie
61,2021-03-03,94.0,Normandie
62,2021-03-04,66.0,Normandie
63,2021-03-05,46.0,Normandie
