,date,PM 2.5,Station
0,2021-01-01,71.0,Nouvelle-Aquitaine
1,2021-01-02,54.0,Nouvelle-Aquitaine
2,2021-01-03,46.0,Nouvelle-Aquitaine
3,2021-01-04,57.0,Nouvelle-Aquitaine
4,2021-01-05,88.0,Nouvelle-Aquitaine
5,2021-01-06,103.0,Nouvelle-Aquitaine
6,2021-01-07,100.0,Nouvelle-Aquitaine
7,2021-01-08,98.0,Nouvelle-Aquitaine
8,2021-01-09,61.0,Nouvelle-Aquitaine
9,2021-01-10,49.0,Nouvelle-Aquitaine
10,2021-01-11,65.0,Nouvelle-Aquitaine
11,2021-01-12,45.0,Nouvelle-Aquitaine
12,2021-01-13,18.0,Nouvelle-Aquitaine
13,2021-01-14,16.0,Nouvelle-Aquitaine
14,2021-01-15,31.0,Nouvelle-Aquitaine
15,2021-01-16,72.0,Nouvelle-Aquitaine
16,2021-01-17,35.0,Nouvelle-Aquitaine
17,2021-01-18,105.0,Nouvelle-Aquitaine
18,2021-01-19,71.0,Nouvelle-Aquitaine
19,2021-01-20,39.0,Nouvelle-Aquitaine
20,2021-01-21,21.0,Nouvelle-Aquitaine
21,2021-01-22,23.0,Nouvelle-Aquitaine
22,2021-01-23,28.0,Nouvelle-Aquitaine
23,2021-01-24,15.0,Nouvelle-Aquitaine
24,2021-01-25,30.0,Nouvelle-Aquitaine
25,2021-01-26,59.0,Nouvelle-Aquitaine
26,2021-01-27,26.0,Nouvelle-Aquitaine
27,2021-01-28,20.0,Nouvelle-Aquitaine
28,2021-01-29,39.0,Nouvelle-Aquitaine
29,2021-01-30,40.0,Nouvelle-Aquitaine
30,2021-01-31,35.0,Nouvelle-Aquitaine
31,2021-02-01,54.0,Nouvelle-Aquitaine
32,2021-02-02,28.0,Nouvelle-Aquitaine
33,2021-02-03,41.0,Nouvelle-Aquitaine
34,2021-02-04,37.0,Nouvelle-Aquitaine
35,2021-02-05,33.0,Nouvelle-Aquitaine
36,2021-02-06,33.0,Nouvelle-Aquitaine
37,2021-02-07,18.0,Nouvelle-Aquitaine
38,2021-02-08,19.0,Nouvelle-Aquitaine
39,2021-02-09,20.0,Nouvelle-Aquitaine
40,2021-02-10,23.0,Nouvelle-Aquitaine
41,2021-02-11,46.0,Nouvelle-Aquitaine
42,2021-02-12,39.0,Nouvelle-Aquitaine
43,2021-02-13,84.0,Nouvelle-Aquitaine
44,2021-02-14,65.0,Nouvelle-Aquitaine
45,2021-02-15,20.0,Nouvelle-Aquitaine
46,2021-02-16,29.0,Nouvelle-Aquitaine
47,2021-02-17,37.0,Nouvelle-Aquitaine
48,2021-02-18,32.0,Nouvelle-Aquitaine
49,2021-02-19,50.0,Nouvelle-Aquitaine
50,2021-02-20,53.0,Nouvelle-Aquitaine
51,2021-02-21,47.0,Nouvelle-Aquitaine
52,2021-02-22,42.0,Nouvelle-Aquitaine
53,2021-02-23,33.0,Nouvelle-Aquitaine
54,2021-02-24,68.0,Nouvelle-Aquitaine
55,2021-02-25,53.0,Nouvelle-Aquitaine
56,2021-02-26,71.0,Nouvelle-Aquitaine
57,2021-02-27,49.0,Nouvelle-Aquitaine
58,2021-02-28,58.0,Nouvelle-Aquitaine
59,2021-03-01,69.0,Nouvelle-Aquitaine
60,2021-03-02,69.0,Nouvelle-Aquitaine
61,2021-03-03,76.0,Nouvelle-Aquitaine
62,2021-03-04,91.0,Nouvelle-Aquitaine
63,2021-03-05,56.0,Nouvelle-Aquitaine
64,2021-03-06,62.0,Nouvelle-Aquitaine
65,2021-03-07,68.0,Nouvelle-Aquitaine
66,2021-03-08,76.0,Nouvelle-Aquitaine
67,2021-03-09,98.0,Nouvelle-Aquitaine
68,2021-03-10,82.0,Nouvelle-Aquitaine
69,2021-03-11,23.0,Nouvelle-Aquitaine
70,2021-03-12,35.0,Nouvelle-Aquitaine
71,2021-03-13,34.0,Nouvelle-Aquitaine
72,2021-03-14,26.0,Nouvelle-Aquitaine
73,2021-03-15,28.0,Nouvelle-Aquitaine
74,2021-03-16,28.0,Nouvelle-Aquitaine
75,2021-03-17,62.0,Nouvelle-Aquitaine
76,2021-03-18,36.0,Nouvelle-Aquitaine
77,2021-03-19,27.0,Nouvelle-Aquitaine
78,2021-03-20,35.0,Nouvelle-Aquitaine
79,2021-03-21,56.0,Nouvelle-Aquitaine
80,2021-03-22,60.0,Nouvelle-Aquitaine
81,2021-03-23,57.0,Nouvelle-Aquitaine
82,2021-03-24,50.0,Nouvelle-Aquitaine
83,2021-03-25,34.0,Nouvelle-Aquitaine
84,2021-03-26,37.0,Nouvelle-Aquitaine
85,2021-03-27,31.0,Nouvelle-Aquitaine
86,2021-03-28,53.0,Nouvelle-Aquitaine
87,2021-03-29,38.0,Nouvelle-Aquitaine
88,2021-03-30,39.0,Nouvelle-Aquitaine
89,2021-03-31,44.0,Nouvelle-Aquitaine
90,2021-04-01,45.0,Nouvelle-Aquitaine
91,2021-04-02,52.0,Nouvelle-Aquitaine
92,2021-04-03,48.0,Nouvelle-Aquitaine
93,2021-04-04,32.0,Nouvelle-Aquitaine
94,2021-04-05,50.0,Nouvelle-Aquitaine
95,2021-04-06,29.0,Nouvelle-Aquitaine
