,date,PM 2.5,Station
0,2021-01-01,8.5,Occitanie
1,2021-01-02,10.95,Occitanie
2,2021-01-03,9.77,Occitanie
3,2021-01-04,15.32,Occitanie
4,2021-01-05,16.93,Occitanie
5,2021-01-06,20.55,Occitanie
6,2021-01-07,33.45,Occitanie
7,2021-01-08,29.37,Occitanie
8,2021-01-09,53.75,Occitanie
9,2021-01-10,22.34,Occitanie
10,2021-01-11,19.3,Occitanie
11,2021-01-12,8.68,Occitanie
12,2021-01-13,3.11,Occitanie
13,2021-01-14,3.69,Occitanie
14,2021-01-15,2.83,Occitanie
15,2021-01-16,14.1,Occitanie
16,2021-01-17,3.07,Occitanie
17,2021-01-18,24.39,Occitanie
18,2021-01-19,9.41,Occitanie
19,2021-01-20,10.03,Occitanie
20,2021-01-21,14.47,Occitanie
21,2021-01-22,2.29,Occitanie
22,2021-01-23,1.2,Occitanie
23,2021-01-24,1.3,Occitanie
24,2021-01-25,2.6,Occitanie
25,2021-01-26,10.19,Occitanie
26,2021-01-27,14.33,Occitanie
27,2021-01-28,3.05,Occitanie
28,2021-01-29,7.72,Occitanie
29,2021-01-30,4.5,Occitanie
30,2021-01-31,2.0,Occitanie
31,2021-02-01,8.82,Occitanie
32,2021-02-02,2.85,Occitanie
33,2021-02-03,3.72,Occitanie
34,2021-02-04,6.12,Occitanie
35,2021-02-05,6.5,Occitanie
36,2021-02-06,7.14,Occitanie
37,2021-02-07,2.12,Occitanie
38,2021-02-08,5.95,Occitanie
39,2021-02-09,3.0,Occitanie
40,2021-02-10,9.63,Occitanie
41,2021-02-11,3.51,Occitanie
42,2021-02-12,10.05,Occitanie
43,2021-02-13,13.52,Occitanie
44,2021-02-14,5.17,Occitanie
45,2021-02-15,2.6,Occitanie
46,2021-02-16,6.09,Occitanie
47,2021-02-17,4.05,Occitanie
48,2021-02-18,9.6,Occitanie
49,2021-02-19,7.33,Occitanie
50,2021-02-20,7.47,Occitanie
51,2021-02-21,5.97,Occitanie
52,2021-02-22,7.28,Occitanie
53,2021-02-23,8.72,Occitanie
54,2021-02-24,5.75,Occitanie
55,2021-02-25,5.3,Occitanie
56,2021-02-26,18.57,Occitanie
57,2021-02-27,8.23,Occitanie
58,2021-02-28,9.13,Occitanie
59,2021-03-01,9.35,Occitanie
60,2021-03-02,5.53,Occitanie
61,2021-03-03,7.7,Occitanie
62,2021-03-04,21.96,Occitanie
63,2021-03-05,20.16,Occitanie
64,2021-03-06,20.12,Occitanie
65,2021-03-07,25.2,Occitanie
66,2021-03-08,18.48,Occitanie
67,2021-03-09,23.49,Occitanie
68,2021-03-10,29.32,Occitanie
69,2021-03-11,3.05,Occitanie
70,2021-03-12,3.0,Occitanie
71,2021-03-13,3.27,Occitanie
72,2021-03-14,3.98,Occitanie
73,2021-03-15,2.75,Occitanie
74,2021-03-16,3.92,Occitanie
75,2021-03-17,5.4,Occitanie
76,2021-03-18,3.83,Occitanie
77,2021-03-19,5.46,Occitanie
78,2021-03-20,8.08,Occitanie
79,2021-03-21,12.35,Occitanie
80,2021-03-22,13.18,Occitanie
81,2021-03-23,8.75,Occitanie
82,2021-03-24,7.0,Occitanie
83,2021-03-25,8.05,Occitanie
84,2021-03-26,6.6,Occitanie
85,2021-03-27,3.3,Occitanie
86,2021-03-28,3.0,Occitanie
87,2021-03-29,2.47,Occitanie
88,2021-03-30,3.0,Occitanie
89,2021-03-31,3.09,Occitanie
90,2021-04-01,4.03,Occitanie
91,2021-04-02,4.2,Occitanie
92,2021-04-03,7.9,Occitanie
93,2021-04-04,4.7,Occitanie
94,2021-04-05,6.03,Occitanie
95,2021-04-06,3.55,Occitanie
96,2021-04-07,3.11,Occitanie
97,2021-04-08,3.8,Occitanie
98,2021-04-09,2.64,Occitanie
99,2021-04-10,2.62,Occitanie
100,2021-04-11,2.59,Occitanie
101,2021-04-12,4.97,Occitanie
102,2021-04-13,6.14,Occitanie
103,2021-04-14,4.19,Occitanie
104,2021-04-15,3.1,Occitanie
105,2021-04-16,3.11,Occitanie
106,2021-04-17,4.03,Occitanie
107,2021-04-18,9.0,Occitanie
108,2021-04-19,7.42,Occitanie
109,2021-04-20,5.2,Occitanie
110,2021-04-21,3.12,Occitanie
111,2021-04-22,2.85,Occitanie
112,2021-04-23,2.6,Occitanie
113,2021-04-24,2.46,Occitanie
114,2021-04-25,3.79,Occitanie
115,2021-04-26,8.34,Occitanie
116,2021-04-27,11.9,Occitanie
117,2021-04-28,10.44,Occitanie
118,2021-04-29,3.7,Occitanie
119,2021-04-30,3.39,Occitanie
120,2021-05-01,10.09,Occitanie
121,2021-05-02,7.8,Occitanie
122,2021-05-03,6.97,Occitanie
123,2021-05-04,4.34,Occitanie
124,2021-05-05,1.27,Occitanie
125,2021-05-06,2.58,Occitanie
126,2021-05-07,2.37,Occitanie
127,2021-05-08,2.19,Occitanie
128,2021-05-09,5.35,Occitanie
129,2021-05-10,2.17,Occitanie
130,2021-05-11,1.45,Occitanie
131,2021-05-12,2.5,Occitanie
132,2021-05-13,1.6,Occitanie
133,2021-05-14,1.82,Occitanie
134,2021-05-15,2.62,Occitanie
135,2021-05-16,3.27,Occitanie
136,2021-05-17,2.72,Occitanie
137,2021-05-18,2.45,Occitanie
138,2021-05-19,1.8,Occitanie
139,2021-05-20,1.67,Occitanie
140,2021-05-21,2.04,Occitanie
141,2021-05-22,2.2,Occitanie
142,2021-05-23,2.08,Occitanie
143,2021-05-24,2.72,Occitanie
144,2021-05-25,3.47,Occitanie
145,2021-05-26,4.92,Occitanie
146,2021-05-27,6.37,Occitanie
147,2021-05-28,4.5,Occitanie
148,2021-05-29,5.03,Occitanie
149,2021-05-30,3.3,Occitanie
150,2021-05-31,2.72,Occitanie
151,2021-06-01,4.08,Occitanie
152,2021-06-02,3.87,Occitanie
153,2021-06-03,3.83,Occitanie
154,2021-06-04,2.85,Occitanie
155,2021-06-05,3.05,Occitanie
156,2021-06-06,1.7,Occitanie
157,2021-06-07,2.17,Occitanie
158,2021-06-08,1.8,Occitanie
159,2021-06-09,3.8,Occitanie
160,2021-06-10,2.85,Occitanie
161,2021-06-11,3.8,Occitanie
162,2021-06-12,9.65,Occitanie
163,2021-06-13,7.87,Occitanie
164,2021-06-14,3.8,Occitanie
165,2021-06-15,3.49,Occitanie
166,2021-06-16,4.9,Occitanie
167,2021-06-17,5.83,Occitanie
168,2021-06-18,5.33,Occitanie
169,2021-06-19,10.58,Occitanie
170,2021-06-20,5.03,Occitanie
171,2021-06-21,2.47,Occitanie
172,2021-06-22,1.3,Occitanie
173,2021-06-23,2.8,Occitanie
174,2021-06-24,2.87,Occitanie
175,2021-06-25,4.88,Occitanie
176,2021-06-26,3.2,Occitanie
177,2021-06-27,8.43,Occitanie
178,2021-06-28,2.44,Occitanie
179,2021-06-29,4.22,Occitanie
180,2021-06-30,4.51,Occitanie
181,2021-07-01,2.84,Occitanie
182,2021-07-02,4.0,Occitanie
183,2021-07-03,4.53,Occitanie
184,2021-07-04,3.53,Occitanie
185,2021-07-05,2.91,Occitanie
186,2021-07-06,1.87,Occitanie
187,2021-07-07,2.58,Occitanie
188,2021-07-08,2.4,Occitanie
189,2021-07-09,3.07,Occitanie
190,2021-07-10,4.37,Occitanie
191,2021-07-11,3.8,Occitanie
192,2021-07-12,3.59,Occitanie
193,2021-07-13,3.33,Occitanie
194,2021-07-14,3.91,Occitanie
195,2021-07-15,5.24,Occitanie
196,2021-07-16,3.3,Occitanie
197,2021-07-17,3.9,Occitanie
198,2021-07-18,6.3,Occitanie
199,2021-07-19,14.38,Occitanie
200,2021-07-20,9.32,Occitanie
201,2021-07-21,16.6,Occitanie
