,Station,Date,PM 2.5
0,Dijon,2021-01-01,44
1,Dijon,2021-01-01,44
2,Dijon,2021-01-02,32
3,Dijon,2021-01-03,36
4,Dijon,2021-01-04,40
5,Dijon,2021-01-05,47
6,Dijon,2021-01-06,58
7,Dijon,2021-01-08,53
8,Dijon,2021-01-08,53
9,Dijon,2021-01-09,40
10,Dijon,2021-01-11,36
11,Dijon,2021-01-11,36
12,Dijon,2021-01-12,57
13,Dijon,2021-01-13,48
14,Dijon,2021-01-14,38
15,Dijon,2021-01-15,10
16,Dijon,2021-01-16,26
17,Dijon,2021-01-17,53
18,Dijon,2021-01-18,41
19,Dijon,2021-01-19,57
20,Dijon,2021-01-21,36
21,Dijon,2021-01-21,36
22,Dijon,2021-01-22,18
23,Dijon,2021-01-23,16
24,Dijon,2021-01-25,22
25,Dijon,2021-01-26,36
26,Dijon,2021-01-26,36
27,Dijon,2021-01-27,65
28,Dijon,2021-01-28,62
29,Dijon,2021-01-29,28
30,Dijon,2021-01-30,19
31,Dijon,2021-01-31,29
32,Dijon,2021-02-01,32
33,Dijon,2021-02-02,24
34,Dijon,2021-02-03,16
35,Dijon,2021-02-04,26
36,Dijon,2021-02-05,37
37,Dijon,2021-02-07,57
38,Dijon,2021-02-07,57
39,Dijon,2021-02-08,25
40,Dijon,2021-02-09,20
41,Dijon,2021-02-10,42
42,Dijon,2021-02-11,65
43,Dijon,2021-02-12,62
44,Dijon,2021-02-13,49
45,Dijon,2021-02-14,37
46,Dijon,2021-02-15,58
47,Dijon,2021-02-16,34
48,Dijon,2021-02-18,42
49,Dijon,2021-02-18,42
50,Dijon,2021-02-19,47
51,Dijon,2021-02-20,32
52,Dijon,2021-02-21,44
53,Dijon,2021-02-23,68
54,Dijon,2021-02-23,68
55,Dijon,2021-02-24,94
56,Dijon,2021-02-25,76
57,Dijon,2021-02-26,75
58,Dijon,2021-02-27,53
59,Dijon,2021-02-28,44
60,Dijon,2021-03-01,40
61,Dijon,2021-03-02,58
62,Dijon,2021-03-03,70
63,Dijon,2021-03-04,61
64,Dijon,2021-03-05,70
65,Dijon,2021-03-06,62
66,Dijon,2021-03-07,37
67,Dijon,2021-03-08,63
68,Dijon,2021-03-09,56
69,Dijon,2021-03-10,49
70,Dijon,2021-03-11,68
71,Dijon,2021-03-13,16
72,Dijon,2021-03-13,16
73,Dijon,2021-03-14,16
