date, pm25, pm10, o3, no2, so2
2024/1/1, 36, 12, 18, 5, 
2024/1/2, 27, 21, 27, 10, 
2024/1/3, 34, 24, 28, 9, 
2024/1/4, 35, 9, 19, 7, 
2024/1/5, 23, 8, 15, 4, 
2024/1/6, 21, 12, 11, 5, 
2024/1/7, 32, 14, 6, 8, 
2024/1/8, 37, 13, 16, 6, 
2024/1/9, 30, 20, 12, 8, 
2024/1/10, 37, 15, 19, 6, 
2024/1/11, 30, 11, 16, 6, 
2024/1/12, 26, 15, 14, 6, 
2024/1/13, 41, 13, 18, 5, 
2024/1/14, 36, 19, 19, 8, 
2024/1/15, 40, 23, 20, 10, 
2024/1/16, 47, 20, 15, 10, 
2024/1/17, 56, 19, 24, 6, 
2024/1/18, 34, 19, 22, 7, 
2024/1/19, 20, 15, 22, 10, 
2024/1/20, 30, 11, 23, 3, 
2024/1/21, 24, 19, 18, 8, 
2024/1/22, 30, 22, 18, 10, 
2024/1/23, 39, 30, 10, 11, 
2024/1/24, 48, 23, 18, 7, 
2024/1/25, 47, 23, 13, 8, 
2024/1/26, 47, 17, 20, 5, 
2024/1/27, 45, 13, 35, 5, 
2024/1/28, 35, , , , 
2023/10/1, 52, 30, 46, 6, 
2023/10/2, 59, 28, 38, 7, 
2023/10/3, 54, 30, 30, 5, 
2023/10/4, 47, 20, 31, 5, 
2023/10/5, 41, 34, 37, 8, 
2023/10/6, 43, 20, 33, 3, 
2023/10/7, 48, 19, 39, 4, 
2023/10/8, 44, 31, 44, 8, 
2023/10/9, 50, 26, 37, 6, 
2023/10/10, 54, 26, 35, 6, 
2023/10/11, 53, 24, 32, 5, 
2023/10/12, 51, 24, 28, 4, 
2023/10/13, 47, 23, 27, 3, 
2023/10/14, 44, 18, 30, 5, 
2023/10/15, 37, 31, 25, 6, 
2023/10/16, 34, 22, 19, 7, 
2023/10/17, 29, 20, 13, 8, 
2023/10/18, 36, 18, 21, 8, 
2023/10/19, 39, 38, 30, 4, 
2023/10/20, 31, 19, 27, 1, 
2023/10/21, 26, 15, 25, 5, 
2023/10/22, 30, 27, 26, 7, 
2023/10/23, 35, 22, 21, 4, 
2023/10/24, 36, 16, 26, 3, 
2023/10/25, 24, 21, 28, 5, 
2023/10/26, 21, 25, 30, 3, 
2023/10/27, 31, 15, 31, 8, 
2023/10/28, 34, 12, 16, 2, 
2023/10/29, 32, 18, 19, 5, 
2023/10/30, 35, 15, 27, 6, 
2023/10/31, 28, 10, 15, 3, 
2023/11/2, 35, 14, 27, 2, 
2023/11/3, 24, 8, 18, 3, 
2023/11/4, 24, 24, 28, , 
2023/11/5, 50, 19, 25, 7, 
2023/11/6, 37, 11, 26, 4, 
2023/11/7, 22, 16, 21, 7, 
2023/11/8, 66, 11, 14, 6, 
2023/11/9, 32, 11, 27, 4, 
2023/11/10, 26, 9, 23, 5, 
2023/11/11, 28, 13, 25, 5, 
2023/11/12, 38, 23, 22, 8, 
2023/11/13, 46, 26, 22, 5, 
2023/11/15, 72, 17, 20, 5, 
2023/11/16, 21, 26, 19, 13, 
2023/11/17, 26, 13, 24, 6, 
2023/11/18, 18, 14, 24, 4, 
2023/11/19, 24, 22, 18, 7, 
2023/11/20, 33, 22, 16, 8, 
2023/11/21, 35, 31, 21, 9, 
2023/11/22, 23, 19, 20, 9, 
2023/11/23, 20, 26, 20, 10, 
2023/11/24, 43, 18, 27, 5, 
2023/11/25, 31, 15, 20, 4, 
2023/11/26, 28, 30, 17, 16, 
2023/11/27, 48, 22, 27, 4, 
2023/11/28, 16, 33, 21, 6, 
2023/11/29, 20, 15, 19, 11, 
2023/11/30, 39, 25, 23, 6, 
2023/12/1, 36, 13, 22, 2, 
2023/12/2, 14, 11, 17, 4, 
2023/12/3, 22, 10, 13, 7, 
2023/12/4, 25, 12, 17, 6, 
2023/12/5, 26, 12, 17, 5, 
2023/12/6, 23, 15, 16, 7, 
2023/12/7, 24, 8, 16, 7, 
2023/12/8, 20, 12, 14, 6, 
2023/12/9, 28, 15, 15, 8, 
2023/12/10, 36, 24, 20, 9, 
2023/12/11, 43, 30, 15, 11, 
2023/12/12, 46, 14, 25, 4, 
2023/12/13, 26, 20, 13, 12, 
2023/12/14, 27, 12, 18, 5, 
2023/12/15, 16, 12, 19, 4, 
2023/12/16, 24, 10, 17, 5, 
2023/12/17, 28, 24, 14, 10, 
2023/12/18, 29, 19, 14, 8, 
2023/12/19, 30, 21, 11, 9, 
2023/12/20, 37, 21, 13, 9, 
2023/12/21, 29, 20, 13, 12, 
2023/12/22, 39, 25, 20, 14, 
2023/12/23, 53, 18, 15, 6, 
2023/12/24, 40, 15, 16, 3, 
2023/12/25, 34, 14, 18, 5, 
2023/12/26, 35, 16, 19, 4, 
2023/12/27, 33, 17, 14, 6, 
2023/12/28, 39, 14, 11, 6, 
2023/12/29, 36, 15, 18, 7, 
2023/12/30, 37, 13, 14, 5, 
2023/12/31, 44, 12, 15, 5, 
2023/7/1, 19, 14, 33, 4, 
2023/7/2, 25, 15, 28, 3, 
2023/7/3, 28, 19, 34, 3, 
2023/7/4, 23, 17, 37, 4, 
2023/7/5, 27, 17, 37, 4, 
2023/7/6, 25, 19, 43, 7, 
2023/7/7, 27, 21, 47, 6, 
2023/7/8, 32, 20, 61, 5, 
2023/7/9, 34, 19, 47, 5, 
2023/7/10, 36, 25, 41, 6, 
2023/7/11, 33, 34, 32, 5, 
2023/7/12, 34, 39, 34, 5, 
2023/7/13, 48, 26, 32, 1, 
2023/7/14, 36, 22, 34, 2, 
2023/7/15, 31, 22, 33, 2, 
2023/7/16, 36, 28, 28, 2, 
2023/7/17, 41, 26, 29, 14, 
2023/7/18, 34, 28, 31, 4, 
