date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,3.07,16.57,6.52,5.42,8.14,2.09,315
2019-12-10T00:00:00.000Z,4.03,55.3,8.61,6.36,23.88,12.275,407
2019-12-11T00:00:00.000Z,1.81,24.38,11.32,3.86,16.05,6.288,417
2019-12-12T00:00:00.000Z,0.57,30.01,2.92,1.2,4.55,3.5,481
2019-12-13T00:00:00.000Z,0.1,27.93,4.12,1.65,5.26,3.463,544
2019-12-14T00:00:00.000Z,0.5,22.74,2.76,1.7,3.71,3.961,344
2019-12-15T00:00:00.000Z,1.23,10.44,4.84,2.91,5.94,2.243,485
2019-12-16T00:00:00.000Z,2.38,9.18,3.3,2.99,4.05,1.357,287
2019-12-17T00:00:00.000Z,3.54,102.78,6.24,5.04,9.09,11.825,288
2019-12-18T00:00:00.000Z,3.12,11.58,6.86,4.3,7.9,1.998,459
2019-12-19T00:00:00.000Z,2.96,7.76,5.49,4.95,6.01,0.877,550
2019-12-20T00:00:00.000Z,0.15,13.56,2.08,1.24,2.91,2.06,574
2019-12-21T00:00:00.000Z,0.87,17.18,2.54,1.71,4.51,2.547,558
2019-12-22T00:00:00.000Z,0.89,72.08,4.47,3.1,5.53,5.088,572
2019-12-23T00:00:00.000Z,1.84,79.91,4.37,3.78,17.95,10.959,570
2019-12-24T00:00:00.000Z,0.75,52.48,6.84,2.41,10,6.769,577
2019-12-25T00:00:00.000Z,3,38.32,5.9,4.72,11.36,9.517,571
2019-12-26T00:00:00.000Z,3.72,64.87,9.71,5.95,19.43,10.294,576
2019-12-27T00:00:00.000Z,3.1,46.43,11.02,6.68,13.91,7.015,567
2019-12-28T00:00:00.000Z,3.35,81.68,8.91,5.09,25.42,16.57,572
2019-12-29T00:00:00.000Z,4.05,37.86,13.3,8.34,18.48,6.429,578
2019-12-30T00:00:00.000Z,6.14,24.1,12.99,9.15,17.04,4.538,572
2019-12-31T00:00:00.000Z,13.18,63.33,22.27,19.35,28.72,9.953,563
2020-01-01T00:00:00.000Z,7.14,76.94,14.11,11.06,23.22,16.17,569
2020-01-02T00:00:00.000Z,12.29,113.26,21.57,18.61,25.59,14.201,551
2020-01-03T00:00:00.000Z,12.89,67.54,30.47,26.5,33.56,8.601,478
2020-01-04T00:00:00.000Z,0.64,49.44,8.8,2.76,12.73,6.056,546
2020-01-05T00:00:00.000Z,3.5,50.08,13.28,6.56,26.01,12.834,553
2020-01-06T00:00:00.000Z,3.78,60.42,19.55,5.76,25.42,10.471,520
2020-01-07T00:00:00.000Z,2.65,131.3,26.1,22.16,36.74,24.273,515
2020-01-08T00:00:00.000Z,5.05,69.91,23.88,20.39,30.46,8.762,498
2020-01-09T00:00:00.000Z,1.02,28.81,7.31,5.24,9.81,3.765,518
2020-01-10T00:00:00.000Z,1.92,38.79,3.53,2.9,11.32,5.696,426
2020-01-11T00:00:00.000Z,2.04,74.87,7.74,5.6,14.45,20.09,516
2020-01-12T00:00:00.000Z,8.56,101.38,18.42,12.05,23.2,21.966,546
2020-01-13T00:00:00.000Z,3.11,72.92,23.62,8.72,37.27,18.145,474
2020-01-14T00:00:00.000Z,3.29,19.7,6.85,5.82,8.25,2.928,439
2020-01-15T00:00:00.000Z,3.79,19.3,6,5.09,8.55,2.486,454
2020-01-16T00:00:00.000Z,5.15,23.99,8.05,6.54,11.08,5.125,464
2020-01-17T00:00:00.000Z,0.76,76.78,12.98,3.83,28.69,13.317,453
2020-01-18T00:00:00.000Z,1.26,24.78,5.44,2.4,8.02,3.417,488
2020-01-19T00:00:00.000Z,0.9,30.02,2.88,1.76,3.72,4.274,462
2020-01-20T00:00:00.000Z,2.94,63.18,10.96,8.18,19.52,11.706,352
2020-01-21T00:00:00.000Z,5.25,29.22,9.02,7.11,12.15,3.913,453
2020-01-22T00:00:00.000Z,17.73,21.94,20.23,19.11,20.99,1.231,16
2020-01-23T00:00:00.000Z,1.41,27.72,14.29,10.23,17.6,4.708,84
2020-01-24T00:00:00.000Z,5.64,19.8,9.22,8.27,10.45,2.119,266
2020-01-25T00:00:00.000Z,5.48,21.12,8.86,7.39,10.82,2.986,296
